Strain,Genus
Bacteroides_A plebeius 2U037.18,Bacteroides
Bacteroides_A coprophilus 3W079.9,Bacteroides
Bacteroides_A coprocola 1U021.14,Bacteroides
Bacteroides_A coprocola 2W067.20,Bacteroides
Bacteroides_A plebeius 1W023.15,Bacteroides
Bacteroides_A plebeius_A 3W042.11,Bacteroides
Klebsiella variicola 2U017.6,Klebsiella
Klebsiella pneumoniae 1W023.6,Klebsiella
Enterobacter kobei 2W025.8,Enterobacter
Escherichia coli 1U001.8,Escherichia
Enterococcus_D sp002850555 3W080.19,Enterococcus
Escherichia coli_D 1U030.5,Escherichia
Escherichia coli_D 1U038.6,Escherichia
Escherichia flexneri 3W054.11,Escherichia
Escherichia flexneri 2U037.6,Escherichia
Veillonella parvula_A 1W078.21,Veillonella
Alphaproteobacteria 1W080.50,
Clostridium_M sp001517625 2U001.17,Clostridium
Caecibacter 2W004.25,Caecibacter
Enterococcus_B hirae 2W011.21,Enterococcus
Bacteroides stercoris 3W049.14,Bacteroides
Bacteroides stercoris 2W050.17,Bacteroides
Bacteroides stercoris 1U036.17,Bacteroides
Bacteroides stercoris 3U040.11,Bacteroides
Streptococcus sp002300045 1W062.68,Peptoniphilus
Streptococcus macedonicus 1U035.55,Streptococcus
Streptococcus infantarius 2W026.44,Streptococcus
Streptococcus thermophilus 2W012.75,Streptococcus
Blautia_A sp000433815 3U038.19,Blautia
Alphaproteobacteria 2W001.42,
Alphaproteobacteria 2W080.58,
Anaerovoracaceae 2W048.49,
Bacteroides thetaiotaomicron 3W074.2,Bacteroides
Bacteroides cellulosilyticus 3W023.3,Bacteroides
Absiella 1W072.11,
Eggerthella lenta 1U024.11,Eggerthella
Lawsonibacter 1W023.20,Lawsonibacter
Clostridium_Q symbiosum 2U038.12,Clostridium
Parabacteroides sp000436495 2W037.10,Parabacteroides
Streptococcus pasteurianus 3W028.33,Streptococcus
Blautia_A 1W026.10,Blautia
Faecalicatena gnavus 2W075.14,
Bacteroides eggerthii 3W039.10,Bacteroides
