"","SID31160","SID31300","SID31360","SID31428","SID31537","SID530050","SID530167","SID530251","SID530364","SID530368","SID532779","H1M514901","H1M413802","H1M513803","H1M513804","H1M414905","H1M513606","H1M513807","H1M512808","H1M412809","H1M513810","H1M313811","H1M513912","H1M513813","H1M5XX814","H1M413815","H1M513816","H1F513817","H1F513818","H1M513819","H1M513820","H1M512821","H1M413822","H1M513823","H1M613824","H1M613825","H1M513826","H1M413827","H1M513828","H1M513729","H1M513730","H1M512831","H1M412832","H1M511833","H1M512834","H1M412835","H1M512836","H1M412837","H1M513738","H1F613739","H1M512840","H1M511841","H1M511842","H1M412743","H1M412844","H1M613745","H1F413846","H1M513747","H1M213648","H1M513852","H1M512853","H1M512854","H1M512855","H2M414940","nHM511825","nHM612836","nHM412840","H2M514901","H2M414102","H2M514903","H2M614904","H2M514905","H2M514906","H2M514108","H2M514909","H2F514910","H2M514911","H2M615912","H2M413913","H2M415914","H2M413915","H2MX14816","H2M514917","H2M514818","H2M511919","H2M411920","H2M515921","H2M515822","H2F514923","H2M413924","H2M514925","H2M414926","H2M414927","H2MX14928","H2M614929","H2M514930","H2M414931","H2M614832","H2M513933","H2M513934","H2F413935","H2M513936","H2M513937","H2M513938","H2M513939","H2M514841","H2M614742","H2M514943","H3M415852","H3M515950","H3M516845","H3M615846","H3M615747","H3M515936","H3M515137","H3M515138","H3M414933","H3M515128","H3M515920","H3M515915","H3M515910","H3M415906","H3M515902","H1M412949","H1M612950","H1F512951","H3M515101","H3F416103","H3M516804","H3M516105","H3M515107","H3M518108","H3M516909","H3F516111","H3M518112","H3M516113","H3M516114","H3M518116","H3M415117","H3M516118","H3MX16919","H3M517921","H3M517922","H3M515123","H3M416124","H3M517925","H3M420126","H3M416127","H3M516129","H3M515130","H3M415131","H3M615132","H3M517134","H3M515935","H3M419939","H3M415140","H3M513141","H3M514142","H3M514143","H3M514144","H3M616848","H3M617849","H3M516751","H3M616753","H3M516154","H2M514107","LILT_VF06_16","LILT_VF43_16","LILT_VF84_16","SID21.TO.V.new","SIDVOV108_metag","SIDVOV32_metag","SIDVOV39_metag","SID31021","SID530258","SID530444","SAMEA104142087","SAMEA104142088","SAMEA104142089","SAMEA104142097","SAMEA104142099","SAMEA104142103","SAMEA104142104","SAMEA104142107","SAMEA104142102","SAMEA104142111","SAMEA104142115","SAMEA104142117","SAMEA104142118","SAMEA104142119","SAMEA104142124","SAMEA104142129","SAMEA104142131","SAMEA104142132","SAMEA104142137","SAMEA104142139","SAMEA104142142","SAMEA104142145","SAMEA104142153","SAMEA104142212","SAMEA104142448","SAMEA104142407","SAMEA104142406","SAMEA104142405","SAMEA104142404","SAMEA104142402","SAMEA104142401","SAMEA104142397","SAMEA104142391","SAMEA104142390","SAMEA104142388","SAMEA104142383","SAMEA104142229","SAMEA104142333","SAMEA104142339","SAMEA104142337","SAMEA104142326","SAMEA104142336","SAMEA104142340","SAMEA104142343","SAMEA104142352","SAMEA104142365","SAMEA104142369","CON-041","CON-049","CON-050","CON-051","CON-053","CON-055","CON-079","CON-080","CON-083","CON-088","CON-096","CON-098","NLF015","HD-13","HD-15","HD-19","HD-47","HD-62","HD-82","HV-12","HV-18","HV-2","LILT_VF279_T016","LILT_VF10_T016","CRC_MR_SBJ34H_17","CRC_MR_SBJ60H_17","CRC_MR_SBJ73H_17","CRC_MR_SBJ75H_17","CRC_MR_SBJ77H_17","CRC_MR_SBJ81H_17","YEZ_N-40","YEZ_N-43","YEZ_N-33","SZAXPI003417-4","SZAXPI003419-6","SZAXPI003427-1","SZAXPI003433-7","SZAXPI015231-17","SZAXPI015246-34","SZAXPI015248-36","SZAXPI015250-39","SZAXPI015253-44","SZAXPI015254-45","SZAXPI015255-46","SZAXPI015258-57","SZAXPI015261-75","SZAXPI015264-87","SZAXPI015265-88","SZAXPI015267-102","SZAXPI015270-90","SZAXPI015272-108","SZAXPI017591-140","SZAXPI017592-142","wHAXPI032793-23","wHAXPI032797-27"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri",0,0,0,0.0206,0.01949,0,0.03846,0,0,0,0,69.86848,67.88024,0.18842,48.03999,0.00017,0.87231,5.48555,82.61653,55.79719,70.02811,54.65696,60.23413,37.98281,13.98222,45.36186,0.01487,0.00425,32.20831,0.00629,0.042,1.64345,0.00763,88.11026,0.00444,0,76.91514,70.25287,95.43792,24.03406,0.03378,0.01326,0.01872,42.84647,67.33441,27.08198,84.50499,0.00232,0.01977,0,0.00212,0.01691,0,65.3644,0.01842,63.39707,0.03998,0.00282,0.06679,93.24333,0.01563,0.00017,82.02828,55.49309,0,0.00025,0.00743,0.00855,84.70693,0.0412,14.1743,0.06081,0,53.64594,0.00221,21.43574,3.71894,35.91298,0.03466,21.11559,0.0388,27.58681,0.02417,0,67.54947,45.72,7.10523,76.36203,0.00052,0,0.02509,0.01251,0,84.37759,0,0,0.00901,35.31874,0,39.28893,0,0.00149,0,7.40098,83.86244,0.00269,0,26.67999,26.09286,0.00084,67.0231,0,68.12661,69.85609,0.02621,65.7333,81.57263,78.34406,90.3224,0.01841,0.02846,67.95845,72.72314,0.004,0.31321,60.81291,35.24866,0,53.60317,71.81082,46.01969,0.02552,0.07149,0.00733,0.10281,0.84103,0.06595,0.02968,0,0,0.01887,56.91983,77.32716,0.0046,0,2.02979,29.08826,19.03227,0.02018,0.02359,0.01247,0.0055,0.01681,0.82471,0.00668,0.02251,0.00998,96.56812,67.65311,83.15212,75.59642,44.59242,58.84036,77.25377,0,34.20113,0,81.85273,0.1989,16.2385,0.53311,0.2871,40.68276,0,0,1.06897,0,68.40325,0.01144,0.01062,48.89807,0,0,0,0.03252,0.0122,5.05722,0.01479,0.00973,0.02503,0.00584,0,0,0,0,0.00023,35.00733,63.41968,0.00133,62.19341,0,0.01238,0.01178,0.0128,0.11315,30.68493,7.34492,41.87454,68.65836,0.04508,0.06923,0.0365,0,0.01359,0.02034,0,0.01931,0,0.01918,0.00389,0.00721,0.00454,0,0.01489,0.00716,0.02665,0,0.02554,0,68.17575,0.00367,0.0036,0.01712,0.02785,0.01798,0.0449,0.09329,42.69943,0.00154,0.04111,50.24431,0,0.10254,1.11083,0.02045,0,0,0,33.10666,0,0.79975,0,0,0.81055,62.04007,0.16625,0.00386,0.00133,4.85566,0.00619,61.80448,0,0.0018,0.00311,0.01279,0,0,0.33272,0.00096,21.31148,0.00218,1.41974,0.02207,0,1.22479,0.58828,81.62768,82.64273
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis",0.00124,0.80045,3.59381,0.00037,4.994,0,0,0.0042,10.17707,0,0.30152,0,0,8.97965,0,0.26644,2.06375,0,0,0,0,0.07232,0.09532,0.00053,0,0,0.2303,0,5.29804,0.08888,0,0.06388,0,0,0,0,0.18222,0,0,0.02987,0.03299,0.05286,0,0.36799,0.11157,0.30537,0.01696,0.76895,0.02527,0,0,0,0,0,0,0.1068,0,0,0,0.23436,0,0,0,0,0.08498,0,0,0,0,0.10969,0,0,0,10.22758,0.42355,2.34186,0.34765,0,0,0,0,0,0,0,0,0,0.18596,0.00897,0,0,0,0,0,0,0,0,0.28654,0,0,0,0,0,1.73006,0.06744,0,0,0,0,1.00009,1.04605,0,0,0.54293,0,0.19184,0.86838,0.30111,0,0,0.25599,0,0.45846,0,0,0,0.17239,0,0,0,0,0.0135,0,0,0,0,0.23684,0,0,0,5.70577,0,0.21377,0.16485,0.19721,0,1.51556,0,0,0,0,0,0.24128,0,0,0,0,0,0,0.00419,0,0,0,0,2.3932,0,0.0014,5.07491,0,0,1.12442,0.62719,6.27768,0.00199,6.42366,7.34426,2.19426,0,0,0,0,0,0,0,0,0,0,1.50109,0.02774,0,0,0.08825,0,0,0,0.33338,0,5.7499,0.36795,0,0.23109,1.94532,0,0,4.3919,1.86406,0.28701,0,0.10995,0.00486,0,0.03612,0,0.57984,0.09379,0.32404,0,0.04522,0,0,0,0,0,0,0,0,0,0,0.04342,0,0,0,0,0,0.34196,0.09719,0.01116,0,0,0,0,0,0,0,0,0,0,5.94447,0,0.00027,0,15.71422,0,25.95107,0.56677,0,0,0.12465,5.42493,0.00625,0.00553,0.44393,0.72132,2.35761,14.10698,0.00131,9.01551,0.07889,0.74173,0.09938,0,1.92079,0,0,0.22488,0,0,0.37758,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Mitsuokella|s__Mitsuokella_multacida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53335,2.11488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61816,0,0,0,0,15.4557,0,0.0058,0,0,0,0,0.01633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.19466,0,0,0,0.0202,8.25931,0.50787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00135,0.01583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46035,0,0,0,0,0,0,0,0,0,0,1.49695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72722,0,0,0,0,0,0,0,0,0.84988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00074
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis",1.41859,6.47035,1.83542,0.78283,0,3.37179,2.44348,0.83246,8e-04,1.06999,6.67094,0,0.00345,1.07128,0.58001,5.08345,0.96678,0,0.05161,0.0125,0.05152,0.09012,0.43897,0.05994,0.03746,0,1.64428,1.30574,0.20729,5.51071,6.78524,0.08767,0,0.10241,0.04003,1.37327,0.57254,0.34619,0.31551,0.4386,0.77283,0.09397,3.43194,0.0131,0.3045,0.20931,1.52064,0.32837,0.77801,0,1.33104,0.05324,0.15941,0,0,0.08491,1.00164,1.03922,0,0.05546,0,0.05087,0.01006,0,0.14669,0.04755,0,2.35374,0,0.4612,0.0311,0,0.09278,0.28756,8.98251,0.13945,0,0,0.31471,0.01573,0,0.39378,0.79828,0.36311,0,0.29749,0.62115,0.86508,0,0.11614,11.58002,0,0,0,3.46825,0,8.10678,0.62407,3.30405,0,0.68897,0.1257,0.01995,1.19071,0.58946,0.27635,0.30983,0.00441,0.25589,0,0,0,0.28851,0.77845,1.169,0.37324,0.02175,0.0596,0,0.17838,13.13166,0.73946,0.52337,1.96742,0,0.84576,0.23707,0,0.22255,0,0.00512,0.52997,0,2.92646,0,0.08021,0,3.61153,0,0.58452,6.0318,0.5026,0.11126,0.62934,0.00166,0,0,0,3.24376,0.42086,0.78769,0.23815,4.09378,0.05373,0.05221,15.62518,0,0,0.2339,0.1341,0.01088,1.54024,0.10172,0.32909,4.67428,0.2183,0,0.5888,0.32067,0.94497,4.51058,0.07236,0.20352,0.44492,1.62361,1.16087,0,1.03753,0,0.59149,3.17504,0.70762,0.00376,0,0.02238,0.02713,0.32774,0.15318,4e-04,1.95136,18.93126,7.42338,0.00127,0.0542,0.48069,7.14733,9.45616,0.3174,2.23343,14.79775,0.27984,8.68377,7.9828,1.23059,3.22307,0.40378,6.33096,0.44443,1.90323,0.00078,0.00269,0.00045,0,3.71768,0.00541,0,0.30997,3.22411,0,1.83414,0,0.15342,1.58211,0.15904,1.84125,0,3.25106,0.30728,0,0.00249,0,1.56371,0,0.00766,3.68983,0,5.44321,2.47829,1.16881,0.00257,0.0605,0.00793,0,0.13502,3.15446,0,0,1.01954,0,5.81588,6.92226,0,0.00147,0.42224,0.10389,0.07914,0.00187,0.53384,0,2.22094,0.00436,9.32651,3.47397,3.22921,1.03709,0,9.44696,30.06374,0,0.16244,16.1082,0.63035,0.39936,0,0,0.85411,1.26727,0.02349
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii",12.38808,6.96436,4.41936,0.00547,0.89509,5.17259,2.16504,0.00113,3.94235,0.77919,17.55089,5.78392,1.95379,5.65674,16.43797,20.4324,38.26208,27.32,0.47934,14.44807,0.68498,3.09078,2.36273,2.80378,21.52768,19.16839,11.85813,0.67482,34.74561,9.78933,45.33612,18.06798,34.70989,0,7.11064,37.65822,5.97687,1.01419,2.32951,10.95574,10.63416,5.70159,4.15555,1.82094,5.887,49.41747,2.72414,27.69957,0.03604,17.50527,8.33497,18.75011,6.36756,16.06541,0.22833,12.66828,20.05762,17.17734,7.17464,0.9744,6.08317,3.44455,0.21106,0.46678,3.73724,8.42681,43.68108,19.75352,3.6166,9.53014,16.60824,0.02953,2.19117,3.90436,19.51751,34.12957,3.24302,26.85119,7.85212,2.13464,0.03689,36.5219,5.19059,1.58296,0.17181,5.04954,19.61784,1.43315,17.05343,10.12111,20.34772,0.00136,3.86499,0.37958,15.72348,2.71918,3.43357,4.73204,4.66636,4.27166,5.82555,5.95229,9.89043,15.37999,0.76932,5.71741,43.38379,6.87372,17.39828,0.0535,3.27387,7.47237,2.49354,7.00015,14.87831,7.20422,1.4099,1.11812,0.00303,0.86819,23.27071,1.46329,1.98494,3.83617,0.04951,1.66224,37.62638,6.92609,3.75687,0.01268,2.57731,42.14536,0.02615,18.004,0.11977,18.48009,1.40204,0.91947,0,11.72153,6.72515,4.6136,0.0672,34.7616,38.37555,3.25696,39.74205,0.22356,18.78669,8.90953,4.3825,8.83071,52.77191,4.88478,3.95771,14.6674,0,0.0039,2.25012,1.5572,5.15654,16.97865,0.82378,6.85761,1.87145,11.32929,3.80656,2.41143,14.37781,13.80665,29.12514,13.36602,13.27071,6.09213,6.26344,1.47359,0.77071,0.33919,0.01098,3.75932,3.49364,9.89036,3.8022,0.00047,1.07303,0.6324,4.21477,6.41616,0.002,1.87429,11.99049,2.24729,0.00912,1.07673,4.05813,21.42213,4.32303,2.50545,1.65356,2.59538,3.76367,5.5675,1.13685,1.48634,7.51325,2.42801,7.94594,2.79826,2.1846,0.00734,4.89023,0.00108,2.83844,4.74313,7.34561,0.8457,1.37739,0,2.63319,7.2716,4.14751,2.46542,1.14863,2.53123,7.45159,2.67945,0,1.38931,0.8271,0.1896,1.60169,1.26659,4.58438,7.52068,4.71938,1.52014,5.06146,5.43947,9.20324,4.73262,3.92227,5.33384,9.21565,3.80704,3.13512,0,2.77301,8.06119,9.28407,14.74386,10.16369,2.7159,6.71809,1.61495,0.27824,1.50725,0.13091,1.56926,0.21888,5.27336,3.82333,33.78272,21.84385,2.24215,5.49591,0,6.89164,8.61162,2.78638,5.40867,3.98671,2.42045,1.81107,3.4788,8.21451,5.06033,1.24414,0.66742
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens",4.54772,1.86957,6.85468,0.00352,0.75898,5.59131,1.62311,0.00097,12.55412,12.58045,0.36456,0.21979,0.36668,9.03251,2.34948,0,0.0472,0.89884,0.06028,0.13122,0.00815,0.42921,0.89799,0.25623,0.52031,0.58214,0.19323,0.00589,3.19511,0.59393,0.23379,0.55466,1.06434,0.06272,0.20547,0,0.52313,0,0.11889,0.08183,0.06077,0.4398,0,0.18208,0.23117,1.50469,0.2156,1.4846,0.00323,0.07785,0.89267,0.09684,0,0.73865,0.26862,0.2217,0.32081,0.7741,0.0738,0.13662,0,0.1834,0.16412,0.3623,0.18964,1.53048,0,0,0,0.12273,2.39433,0,0,2.19846,0.83443,1.47825,10.84753,0.41537,0.56396,2.25547,0.00544,0.41184,0.19157,0.30256,0.0249,0.31143,3.65113,0.1744,0,0.08372,0,0.73455,0,0.14406,0,0,0,0.92701,0.40139,0.13255,0.93396,0.75152,0,0.2369,0.02512,0,0,0.1609,5.63969,0.33267,0.0498,0,1.12448,0.02913,0.29296,1.60953,0.65193,0.07893,0.02755,0.19149,4.11414,0.42294,0.05512,0.18113,0,0.1716,0.52502,0.94429,0,0,0.19934,5.6516,5.68993,0.6572,0.05013,0.27459,0.01143,0,0,0,0.53133,1.38558,0.23256,2.53932,1.27954,2.79405,0.50282,1.29865,5.7592,0,0.59511,0.08042,0,0,1.05762,4.69093,0,0,0.08431,0.06353,0.57547,0,0.00405,1.81256,0,0.05265,0.8032,0.02364,0,9.69907,1.61313,0.52964,0.13328,2.67519,6.83886,18.11953,0.03717,2.18306,3.17866,0.55774,0.13959,0.4785,0.00287,0,0.01117,0.00445,1.30224,2.66548,0.00031,0.0021,0.52665,0.00148,0.00142,2.13861,0.60165,0.31461,0.96306,0.08683,0.00155,0.03683,0.13352,0.63222,0.00086,1.74643,0,0.29676,0.1235,0.0312,0.64403,0.00718,0.57213,0.18171,0,1.07632,2.06784,0,0.23086,0,0.17761,0.57796,0,0.00132,0.59789,0.00277,0.59259,0.18033,0,0.24222,0.00067,0.16843,0,0.635,0,2.16535,1.11404,0,0,0.0789,0,0.14523,0.09912,0.06895,0.00363,0.04768,0,0,1.65159,0.57288,1.47125,3.24598,4.92586,3.4455,3.40447,0.23716,0.02029,0.02231,0.17432,0.69244,3.81062,0.00915,0.21059,0,0.81689,3.89344,2.01126,0,0.50309,0.28508,0.20584,2.10019,0.26102,0.28985,0.28632,0,1.5063,12.37565,0.16185,0.10744
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis",0.58086,1.60106,7.75405,0,0.12303,9.57755,1.79787,0,1.84282,0.89822,4.5176,0.03169,1.13208,5.57945,0.82928,3.70567,0,6.3967,0.2283,0.11675,0.3172,0.28768,0.1018,0.36236,0.30565,6.96372,3.41733,8.33999,0.0774,1.99081,0.46582,5.96521,0.90575,0.0012,0.43295,9.34406,0.0264,2.40154,0.02394,0.33182,1.41443,0.56644,21.75267,0.07432,0.00139,0.11059,0.03805,7.91953,0.9884,3.58564,3.44491,1.82403,19.03208,0.07083,3.88956,0.16703,22.06354,5.83555,0,0.21487,0,5.50822,0.36535,0.02539,0.6249,13.0199,0,3.48714,0.07346,13.04147,1.01509,10.46455,5.61623,0.65544,4.82471,0.00823,0.43224,0.05716,9.23063,0.39706,5.86515,0.24764,19.37564,3.63744,0,0.71488,0.53442,0.20305,23.44481,0.15237,4.36612,0.10461,5.26514,0.01736,3.62098,15.40627,2.98833,0.96664,24.04077,0.27868,7.81156,0.46781,1.15258,1.01829,0.02595,2.19002,0.92462,0.07288,0,2.34851,0.8311,20.89224,0.0031,1.03415,0.95926,0.16042,0.63149,0.29173,0.10077,3.94665,0.00206,0.00665,0.06594,2.75927,0.03954,0.41014,0.26479,12.14053,3.04956,0.04056,0.04262,0.51381,2.54817,11.67676,6.97585,1.57894,4.49999,7e-04,15.75239,18.20874,11.6065,0.12593,0,8.22728,0.32802,5.57376,0.09261,0.01096,23.14435,14.81947,19.47268,0.46496,0,9.39238,6.21068,5.6118,3.5762,0,0.31726,0.42986,0.49671,1.08268,0.47375,0.32686,1.2884,2.31607,21.22276,0.58398,14.42274,0.07484,12.25981,2.12149,0.76873,0,1.08401,0,3.8236,0.00077,0.74438,2.80217,1.71082,4.83253,0.35453,9.35972,1.93411,2.63284,1.00805,3.62492,0.00242,12.43428,1.43487,6.44162,3.9792,8.32802,6.65306,0.19557,0.06594,0.36715,0,2.3258,22.83005,2.8673,11.17634,0.69801,4.58723,1.12499,0.44629,5.24575,0.11298,2.43083,13.77702,8.7289,1.5614,13.82064,0.03449,14.89105,5.77704,0.00607,7.06894,12.64897,38.33832,15.34375,1.53455,15.30483,12.77136,7.07711,0.00702,5.74379,14.91388,0.06724,4.11647,1.54623,39.7189,0.04014,13.68822,24.85235,8.13143,1.94467,4.41956,19.55385,2.16383,0.33937,11.79131,6.59791,0.04618,20.55181,3.57907,3.79691,0.68661,2.69982,4.37942,0.86641,20.69769,8.94559,0.57151,16.94604,0.86185,9.53718,1.4556,17.11398,0.90062,0,0.55575,3.38974,1.21091,0,8.07146,3.98549,24.89895,3.68628,13.69155,0.21701,6.5268,16.66254,3.37945,0.13414,0.94204,0.64863
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila",0,0.03224,2.75822,9.06777,10.64733,1.16784,9.7942,0,7.97017,7.49828,0.11992,0,0.03123,0,0.4081,0,0,0,0,0,0.04809,0,0,0.48537,0,0,0.5619,0,0,0,0,0.07137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026,0,0,0.17613,9.48623,0.20088,0,0,0,0,0,0.00151,0,0,0,0,0,0,0,0.49921,0,0,0,1.22727,0,0,0,0,1.42519,0,0,0.10903,0.3497,0,0,0,0.02314,0.00707,0,0,0.22745,0,0,0,0,0,0,0,0.02287,0,0,0,1.00491,0,0,0,0.05269,1.47275,0,0.08655,0,0.61827,0,0,0.00337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09073,0,0,0,0,0,0,0,0.25567,0.00125,0,0,0,0,0,0,0,0,1.3843,0,0,0,0,3.40733,0,0,0,0,0,0,0,0,0.01989,0,0,0.06503,0.00198,0,0,15.66149,0,0.43015,16.24248,0.00332,4.68935,2.10894,9.57241,4.0445,0,0,0,0.05888,0.57653,0,0.03959,0,0,1.65962,0,0,0,0,0,0,0,0,0,0,0,0.01356,0,1.07292,0.00291,0,0.23033,0.25009,0,0,0.02362,0.1,3.42396,0,0,0.01113,0,0,1.7327,0,0,0.09586,0,0,0,0,1.14528,0,1.29923,0,0,0,0.09894,0,0,15.28094,0,0,0,1.78084,0,0,0,0,0,0.19651,0,0,0,0,0,29.93876,1.66112,0,0.22503,1.72996,0.07653,0,0,0.31934,0.14007,0.00617,0.00123,4.14194,0.00037,2.73754,0.00275,0,0.21172,0,0,0.49902,0.24189,0.28022,0,0,0.03147,0.08313,0,0.12942,1.67161,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus",0.34627,2.71149,1.5822,0.00081,0.00175,3.58241,3.20011,0.04502,0.30543,0,9.25285,0.17593,0.39168,16.08852,0.00182,30.15088,17.92657,13.96507,0.19395,0.14916,0.05846,0.06126,0.0197,0.08532,0.02579,2.45996,10.57282,0.09288,0.06573,1.76206,13.09533,0.59807,9.14893,0.04127,2.35531,3.79981,0.15986,7.5974,0.12709,0.10191,0.63547,3.69994,11.47732,0.02386,0.00205,0.50955,0.13,0.38306,41.40042,0.00203,6.74987,9.64567,2.52337,0.22409,6.91299,0.05062,0.58391,5.64827,0,0.09143,10.05247,3.88098,3.00387,0.037,33.78985,0.59319,7.19936,0.78167,0.9469,4.13986,2.44786,0,30.13532,0,2.52917,0.07739,0.00062,0.11613,4.51701,0.09267,40.85481,0,21.74342,6.93248,9.89911,8.30431,0.08032,0.98591,1.74484,0.0322,22.41202,6.73625,2.32161,0.0088,11.40087,0,26.29752,0.28993,8.10914,0.96852,0.82148,2.16015,0.64485,1.73648,0.47242,14.48256,1.60559,0.00566,0.20703,21.78235,0.22291,0,0.03145,1.20575,4.45878,0.18954,1.12896,0.41141,0,3.19441,0.37506,0.01591,0.07095,0,0.5152,0.43895,0.32572,6.53194,0,0.04198,0.0073,0.97051,5.3319,22.00797,0,0.18407,11.2881,0.01477,33.19284,8.80181,0.51756,0.01288,1.61794,1.92263,0.37947,3.30166,0.01466,0.84545,2.73811,22.89542,13.45397,1.41064,5.08475,23.05493,0.17224,5.61288,36.22028,0.17935,0.23005,1.12626,0.79005,0.47155,4.78801,0.06701,10.78844,0.33949,23.68885,0.33041,2.72202,0.01255,3.93132,0.26161,5.31663,0.56406,0.38952,0.00751,20.52066,0.01407,22.55678,7.28935,3.15965,8.41872,11.04191,43.74295,2.16188,12.79167,3.603,13.33529,0.0081,9.68013,15.30231,20.61378,8.20484,4.50841,22.18038,3.35649,4.82081,1.21397,0.01017,3.20811,4.26685,7.33042,17.94683,11.26818,5.29909,0.01383,0.09887,2.52003,0.01733,30.15169,0.01868,14.94051,32.24672,9.66171,0.26293,33.52515,1.42836,0.00626,0.0105,19.63056,25.54349,0.00905,3.20215,0.01083,19.50213,0.01137,0.00696,1.41005,33.26218,1.99894,19.27373,3.00374,23.61861,0.26433,9.52122,0.01078,29.30325,1.51167,31.44834,4.84012,3.48124,11.45175,41.8014,22.41192,19.18096,3.08197,0,9.61106,2.16516,4.68655,2.29259,0,4.26939,1.63772,0.65216,2.78155,10.99991,27.98496,21.77301,12.01603,4.70794,0.00659,3.98792,0.54648,0.7187,0.00458,8.85245,0.52682,5.13672,8.18365,0.00582,0.90347,9.51271,21.54511,0.42782,0.03629,1.47395,0.8808
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei",0.00759,0,0,0,0.29144,0,1.13068,0,0.1002,0,0.91489,0,0.12456,1.93959,0.36161,0.14287,0,0.41761,0.00084,0.51326,4.6374,0,0.04526,0,0.00834,0.01688,0,19.22037,0,0,0.4536,0.71495,0,0,0.44422,0,0.00291,0.36996,0,0,0,0,0,0,0,0,0,0.19817,0,9.06394,0,0,0,0,0,0.00948,0,0,0,0.12762,0,0.68004,0,0,0,0,0,0,0,1.11243,0,0,6.05578,0,0.24402,0,0,0,0.00548,0.01481,0.05852,0,0,0,0,0,0,0.21201,3.23019,0,0.5043,0.00379,0,0,0,40.39566,5.6039,0.06705,0,0,0,0,0.0018,0.56518,0,0.20503,0,0.01314,0,3.23763,0.02203,30.32369,0,0.03685,2.31671,0,0.06581,0.03581,0.80544,0.00056,0,0,0.02921,20.14733,17.84587,0,0,0.43988,12.19964,0.0531,0.00351,0,0,0,6.38793,0,0,0,0,0.6039,1.28669,0,0,0.9608,0,0,0,0,0,0,0.48341,1.13324,0,0.02466,5.26829,0,0,0,0.02141,0.19662,0,0,0.4512,0.01408,0,0.27188,1.83647,0.21924,0.00383,0.0648,0.03261,0.16559,0.42893,0,0.0051,0,0,0.01631,0,0.28887,0.28641,0,0.09204,2.9311,0,0,0,0,0.24606,0,0,4.69255,0.82538,0,0.00289,0.02865,0.00542,0.0132,0,0.14878,0.01854,0.73249,0,0,0,2.79473,6.39556,0.00111,0.30096,0.3121,11.79238,5.22499,0.02558,0,0,1.16371,4.50841,6.14788,0,0,0,9.21737,0.01053,8.67094,0,0,6.15422,4.45028,1.15756,0.00512,0.00912,0.01459,0,0,0,34.57647,0,2.4069,0.05835,0.92433,0.00092,0.03446,0,0.08099,0,10.58495,1.61783,0,3.13348,4.1862,0.19572,11.02352,0.22374,14.06955,0.40409,0,0.0032,0.00244,0.00114,0,0.00232,0,0.34534,0.04169,0,0,0,0,0.00199,0,5.85776,0,0.00139,0.00092,0.24552,0.00101,0.0029,0.0954
