,Adlercreutzia_26dap_M,Adlercreutzia_cgly,Adlercreutzia_co2,Adlercreutzia_glu_L,Adlercreutzia_mg2,Adlercreutzia_ser_L,Blautia_26dap_M,Blautia_cgly,Blautia_co2,Blautia_glu_L,Blautia_mg2,Blautia_ser_L,Butyricimonas_26dap_M,Butyricimonas_cgly,Butyricimonas_glu_L,Butyricimonas_mg2,Butyricimonas_ocdca,Butyricimonas_ser_L,Enterobacter_26dap_M,Enterobacter_cgly,Enterobacter_co2,Enterobacter_dgsn,Enterobacter_kestopt,Enterobacter_mg2,Enterobacter_ocdca,Faecalibacterium_26dap_M,Faecalibacterium_glu_L,Faecalibacterium_mg2,Faecalibacterium_ocdca,Faecalibacterium_ser_L,Roseburia_26dap_M,Roseburia_co2,Roseburia_mg2,Roseburia_ocdca,Roseburia_ser_L,Collinsella_26dap_M,Collinsella_amylopect900,Collinsella_cgly,Collinsella_co2,Collinsella_dgsn,Collinsella_glu_L,Collinsella_mg2,Collinsella_ser_L,Fusobacterium_26dap_M,Fusobacterium_cgly,Fusobacterium_mg2,Fusobacterium_pydx5p,Fusobacterium_ser_L,Roseburia_glu_L,Veillonella_26dap_M,Veillonella_cgly,Veillonella_mg2,Veillonella_ocdca,Veillonella_ser_L,Dialister_26dap_M,Dialister_cgly,Dialister_co2,Dialister_mg2,Dialister_ocdca,Dialister_ser_L,Actinomyces_26dap_M,Actinomyces_cgly,Actinomyces_mg2,Actinomyces_ocdca,Actinomyces_ser_L,Roseburia_amylopect900,Roseburia_cgly,Roseburia_kestopt,Roseburia_melib,Rothia_26dap_M,Rothia_cgly,Rothia_mg2,Rothia_ser_L,Faecalibacterium_co2,Veillonella_glu_L,Dialister_glu_L,Fusobacterium_glu_L,Turicibacter_26dap_M,Turicibacter_cellb,Turicibacter_cgly,Turicibacter_co2,Turicibacter_glu_L,Turicibacter_mg2,Turicibacter_ser_L,Faecalibacterium_kestopt,Turicibacter_dgsn,Faecalibacterium_cgly,Methanobrevibacter_cgly,Methanobrevibacter_co2,Methanobrevibacter_glu_L,Methanobrevibacter_mg2,Methanobrevibacter_ser_L,Enterobacter_ser_L,Faecalibacterium_cellb,Actinomyces_glu_L,Collinsella_cellb,Faecalibacterium_melib,Rothia_glu_L,Enterobacter_glu_L,Parvimonas_26dap_M,Parvimonas_cgly,Parvimonas_co2,Parvimonas_dgsn,Parvimonas_glu_L,Sutterella_26dap_M,Sutterella_cgly,Sutterella_co2,Sutterella_glu_L,Sutterella_mg2,Sutterella_ocdca,Bulleidia_26dap_M,Bulleidia_cgly,Bulleidia_co2,Bulleidia_dgsn,Bulleidia_mg2,Bulleidia_ocdca,Bulleidia_ser_L,Parvimonas_mg2,Parvimonas_pydxn,Sutterella_ser_L,Blautia_cellb,Mobiluncus_26dap_M,Mobiluncus_cgly,Mobiluncus_co2,Mobiluncus_mg2,Mobiluncus_ocdca,Mobiluncus_ser_L,Actinomyces_cellb,Actinomyces_co2,Actinomyces_pydxn,Adlercreutzia_ocdca,Blautia_4hphac,Blautia_melib,Blautia_ocdca,Blautia_pydxn,Collinsella_ocdca,Collinsella_pydxn,Enterobacter_cellb,Enterobacter_pydxn,Faecalibacterium_pydxn,Fusobacterium_cellb,Fusobacterium_co2,Fusobacterium_dgsn,Fusobacterium_melib,Fusobacterium_pydxn,Rothia_co2,Rothia_ocdca,Sutterella_dgsn,Turicibacter_ocdca,Veillonella_pydxn,Selenomonas_26dap_M,Selenomonas_co2,Selenomonas_mg2,Selenomonas_ocdca,Actinomyces_melib,Bulleidia_cellb,Bulleidia_pydxn,Butyricimonas_co2,Butyricimonas_pydxn,Enterobacter_melib,Fusobacterium_ocdca,Roseburia_cellb,Turicibacter_melib,Veillonella_co2,Dialister_pydxn,Rothia_pydxn
CON_041,-1.99818676634465e-06,-5.49901329358093e-07,0.000274382151695005,6.32140229194643e-06,-1.9930312100738e-08,-1.9505767167373e-06,-4.150383883254e-08,-1.37730488464483e-07,5.06504976314186e-07,-3.64889301239547e-07,-5.91083099717855e-09,-3.09148389440953e-07,-3.25186270345059e-07,-1.77808047566059e-06,-1.27296634857821e-05,-1.19073529247126e-07,-3.3103362082617e-06,-1.11002311284068e-05,-7.31876815840505e-09,-2.25431705558159e-08,2.29666579937365e-07,-4.73293019478356e-09,-1.69034246293426e-08,-8.77851639753185e-10,-2.24818647625705e-08,-2.50260361753207e-05,-0.000195273013507652,-5.1844973300913e-06,-2.70925969323278e-05,-0.00015390692209008,-1.78627382301824e-05,5.76646241583673e-05,-3.57366076965333e-07,-1.04208272666223e-06,-1.10888394774137e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON_049,0,0,0,0,0,0,-5.03995518125699e-06,-1.672509118384e-05,0.000173881225978809,-4.33686495481067e-05,-7.17772720493704e-07,0,-9.66583162164316e-08,-5.2851636292115e-07,-3.78376318665563e-06,-3.539339723895e-08,-9.83963817603176e-07,-3.2994309672008e-06,0,0,0,0,0,0,0,-0.000163209953997686,-0.00127349370584713,-3.38112502042879e-05,-0.000176687249551872,-0.00100372034541445,-0.00457373841123941,0.00353561937788551,-9.15032696570841e-05,-0.00026682436551473,-0.00283928759411693,-1.60541989474118e-06,-6.75993346912566e-09,-6.27448132345974e-08,1.63264873495179e-05,-4.54914871506718e-06,-1.01744385054059e-05,-3.44418028741242e-07,-7.34711598493324e-06,-7.85009635841851e-08,-5.11032212536418e-08,-2.42436680443593e-09,-2.42436680443593e-09,-7.3156591636866e-08,-0.00179700443081411,-1.43071762341489e-08,-7.66069089235578e-08,-7.30959529850533e-09,-6.22359313099493e-08,-2.7227299704184e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON_050,0,0,0,0,0,0,-4.78681534606017e-07,-1.58850466450167e-06,5.84173864798204e-06,-4.11903895429099e-06,-6.81721433996105e-08,-5.97129495032555e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.63180067745365e-05,-0.000127326050956657,-3.38050588444465e-06,-1.76654895399489e-05,-0.00010035365487846,-4.00312083255064e-06,1.43641410377481e-05,-8.00873622572374e-08,-2.33535475837298e-07,-2.48505933126422e-06,-1.12693824099932e-07,0,-4.40442588820835e-09,1.14605175852325e-06,-3.19331389114784e-07,-7.14203422419052e-07,-2.41767184242277e-08,-5.15737097291513e-07,0,0,0,0,0,-1.41263622932152e-06,-1.02498174205567e-06,-5.48820268073252e-06,-5.23667396009373e-07,-4.45865013812236e-06,-1.95059350814843e-05,-2.03371555440683e-06,-3.17098933877291e-07,9.86510949870855e-06,-1.19249650077367e-08,-3.28053033818518e-07,-1.00704548351529e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON_051,0,0,0,0,0,0,-0.00479689824883713,-0.00105251371945985,0.002220237079077,0,-4.51695974311688e-05,0.000700978750515182,0,0,0,0,0,0,-2.97265180695005e-09,-9.15632183404662e-09,9.32832901753824e-08,-1.92236633148903e-09,-6.86563567536391e-09,-3.56555530475372e-10,-9.13142136266632e-09,0,0,0,0,0,-0.0383698957030243,0,-0.00076763701758724,-0.00223843651632265,-0.0235605733462031,0,0,0,0,0,0,0,0,-3.72282837396555e-05,-5.86147192067418e-05,-1.14973130473427e-06,-1.14973130473427e-06,0,-0.0104875437590172,-3.31166672316364e-07,-1.77321189656588e-06,-1.691944176383e-07,-1.44056842056868e-06,-6.30227383211606e-06,-1.03387234111788e-06,-1.61202394515451e-07,5.01508867880446e-06,-6.06224969051458e-09,-1.66771089177069e-07,-5.11947931655473e-07,-8.39141285176225e-08,-2.83832759550099e-07,-1.34351417476854e-08,-4.82899431376304e-07,-7.59550423823772e-07,-1.57e-05,-0.00933216908914142,-0.00281565824910372,0.00470184810652833,-3.18946907889283e-10,-2.24657584107268e-09,-1.59161708966143e-10,-6.89236662767138e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON_053,-3.14492747500122e-07,-8.65484562487424e-08,4.31847503971876e-05,9.94919598273879e-07,-3.13681319317421e-09,-3.06999446292336e-07,-1.10023993545422e-06,-3.65114620721379e-06,1.34271194694951e-05,-9.46752867108727e-06,-1.56692308416486e-07,-8.1953239413992e-06,-1.03337661983501e-06,-5.65038244014131e-06,-4.04523124872897e-05,-3.78391747704025e-07,-1.05195832461839e-05,-3.52743038956984e-05,0,0,0,0,0,0,0,-7.81095352988828e-06,-6.0947264019927e-05,-1.61814949189228e-06,-8.45595419745668e-06,-4.80363653257745e-05,-7.3099140373639e-06,2.62296944305839e-05,-1.462438327665e-07,-4.26448344792482e-07,-4.53785205322319e-06,-3.66866943734998e-07,0,-1.43383036064288e-08,3.7165538670125e-06,-1.0395612332696e-06,-2.32503980480428e-06,-7.87056333271009e-08,-1.67894642111281e-06,0,0,0,0,0,-2.57954976488348e-06,-4.44495326871986e-10,-2.38002331594645e-09,-2.27094494282948e-10,-1.93354580792609e-09,-8.45897700831162e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66074939477824e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON_055,0,0,0,0,0,0,-1.19270463298413e-06,-3.95799030440439e-06,1.45555410986665e-05,-1.18424897269876e-05,-1.6986080597426e-07,-8.88406293821472e-06,-9.42404959191236e-08,-5.15296004448643e-07,-3.68911577512377e-06,-3.45080634406309e-08,-9.59350853265057e-07,-3.21689868778263e-06,0,0,0,0,0,0,0,-1.14862518451156e-06,-8.96248609244573e-06,-2.37953951662883e-07,-1.24347455315279e-06,-7.0638979958663e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.36560066868839e-07,-2.19096719034462e-07,-1.03940769203492e-08,-1.03940769203492e-08,-3.13646944560057e-07,0,-2.21121376874905e-09,-1.18398102477244e-08,-1.12971822695939e-09,-9.61873579882314e-09,-4.20805468573513e-08,-7.31203575215914e-08,-1.14009982195301e-08,3.54690867153056e-07,0,-1.1794842728559e-08,-3.62073868371524e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,5.38324665860341e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON_079,0,0,0,0,0,0,-5.06972772202222e-09,-1.68238913598663e-08,6.18699954508555e-08,-4.4571525381725e-08,-7.22012821211373e-10,-3.77627275995136e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.93957848378523e-08,-6.195089808262e-07,-1.64479597019952e-08,-8.5952005410229e-08,-4.88273923433803e-07,0,0,0,0,0,-8.86288741740365e-08,0,-1.72857260532196e-07,8.97856813391225e-07,-2.51140483799517e-07,-5.61690454342145e-07,-1.90139553101143e-08,-4.05605175508105e-07,-2.04601772396524e-09,-8.9421847589357e-10,0,0,-2.20910527972945e-09,0,0,0,0,0,0,-0.00104617698096456,-8.17392135294433e-05,0.0026178085734037,-3.07392159658198e-06,-8.45628733354559e-05,-0.000259588087554944,0,0,0,0,0,0,0,0,0,0,0,0,0,3.72103188401977e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON_080,0,0,0,0,0,0,-5.66604329423788e-08,-1.88027645761878e-07,6.91473175800103e-07,-5.62587397156294e-07,-8.06937991207675e-09,-4.22044853726403e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.90971404542843e-06,-7.73234606988302e-05,-2.05293741488143e-06,-1.07280228665289e-05,-6.09434741019343e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.4370146610997e-05,-0.00034466605276412,-3.28869731756563e-05,-0.000280008854111364,-0.00122499733357352,0,0,0,0,0,0,-4.44349667807121e-10,-1.50297684843832e-09,0,-2.53127922559194e-09,-4.02203996479535e-09,0,0,0,0,0,0,0,0,0,-0.00239994823439503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON_083,-7.84987980410809e-09,-2.16028822344614e-09,1.0779107075854e-06,2.48336386873228e-08,0,-7.66284365054123e-09,-4.1044236086832e-07,-1.36205296760617e-06,5.00896071586902e-06,-5.51236513997629e-07,-5.84537598790385e-08,0,-3.76863700879137e-09,-2.06064661895885e-08,-1.47526157457617e-07,-1.37996265528662e-09,-3.83640291232446e-08,-1.28642398685106e-07,-8.08624208002376e-09,-2.49071333344868e-08,2.53750292790991e-07,-5.22924329266009e-09,-3.73648498987303e-08,-9.69906508274612e-10,-2.48393987821194e-08,-3.71045114147753e-06,-2.89518871783514e-05,-7.68672429851068e-07,-4.0168469552633e-06,-2.28188000189013e-05,-0.000248405259549957,0.000801903702910903,-4.96965313822533e-06,-1.44915536942521e-05,-0.000154205139939882,-1.47433714433451e-06,0,-5.76216907919983e-08,1.49358057699924e-05,-4.17771011041722e-06,-9.34369423252076e-06,-3.16296250354833e-07,-6.7472229762465e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CON_088,0,0,0,0,0,0,-1.38882016012668e-06,-4.60879967791314e-06,1.69488977910672e-05,-1.11608955336495e-05,-1.97790890743994e-07,-9.29566802151341e-06,-3.54615598541986e-09,-1.93899659866675e-08,-1.38816968854748e-07,-1.29849672926445e-09,-3.6099213371533e-08,-1.21048010464202e-07,0,0,0,0,0,0,0,-3.58435678694955e-05,-0.000279679988621,-7.42550200992685e-06,-3.880340178931e-05,-0.000220433358637957,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.44509613516773e-08,-1.50569009212985e-08,-1.23268818315551e-09,-1.23268818315551e-09,-3.71970387755247e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
