sample_id,file,found_taxa,total_taxa,found_fraction,found_abundance_fraction
CON_041,CON_041.pickle,41.0,47.0,0.8723404255319149,0.9686588515299017
CON_049,CON_049.pickle,35.0,38.0,0.9210526315789473,0.9894185926386184
CON_050,CON_050.pickle,26.0,26.0,1.0,0.9998611994447979
CON_051,CON_051.pickle,38.0,42.0,0.9047619047619048,0.9885793162395557
CON_053,CON_053.pickle,43.0,48.0,0.8958333333333334,0.9740192351796211
CON_055,CON_055.pickle,38.0,43.0,0.8837209302325582,0.9927343771407497
CON_079,CON_079.pickle,29.0,30.0,0.9666666666666667,0.9997152937649336
CON_080,CON_080.pickle,20.0,23.0,0.8695652173913043,0.9420721115855777
CON_083,CON_083.pickle,37.0,41.0,0.9024390243902439,0.955737970352634
CON_088,CON_088.pickle,29.0,32.0,0.90625,0.9976621990648795
CON_096,CON_096.pickle,40.0,44.0,0.9090909090909091,0.9805081104726846
CON_098,CON_098.pickle,50.0,57.0,0.8771929824561403,0.9493480628940506
CRC_MR_SBJ34H_17,CRC_MR_SBJ34H_17.pickle,35.0,41.0,0.8536585365853658,0.9683709611118406
CRC_MR_SBJ60H_17,CRC_MR_SBJ60H_17.pickle,42.0,50.0,0.84,0.9667691504350685
CRC_MR_SBJ73H_17,CRC_MR_SBJ73H_17.pickle,43.0,50.0,0.86,0.8832066902144029
CRC_MR_SBJ75H_17,CRC_MR_SBJ75H_17.pickle,42.0,48.0,0.875,0.9601519721867885
CRC_MR_SBJ77H_17,CRC_MR_SBJ77H_17.pickle,43.0,52.0,0.8269230769230769,0.9172481296468681
CRC_MR_SBJ81H_17,CRC_MR_SBJ81H_17.pickle,34.0,38.0,0.8947368421052632,0.9815248695368232
H1F413846,H1F413846.pickle,27.0,34.0,0.7941176470588235,0.9269807853961571
H1F512951,H1F512951.pickle,26.0,29.0,0.896551724137931,0.9761995000000001
H1F513817,H1F513817.pickle,26.0,30.0,0.8666666666666667,0.9605514960551496
H1F513818,H1F513818.pickle,25.0,29.0,0.8620689655172413,0.9792080236756198
H1F613739,H1F613739.pickle,32.0,36.0,0.8888888888888888,0.9578546210726894
H1M213648,H1M213648.pickle,24.0,26.0,0.9230769230769231,0.9902008980401795
H1M313811,H1M313811.pickle,28.0,33.0,0.8484848484848485,0.9956279714623614
H1M412743,H1M412743.pickle,15.0,17.0,0.8823529411764706,0.9775441371235838
H1M412809,H1M412809.pickle,25.0,28.0,0.8928571428571429,0.9918646991864699
H1M412832,H1M412832.pickle,37.0,43.0,0.8604651162790697,0.9394464302767848
H1M412835,H1M412835.pickle,31.0,34.0,0.9117647058823529,0.9845068348992623
H1M412837,H1M412837.pickle,34.0,42.0,0.8095238095238095,0.9657652723844757
H1M412844,H1M412844.pickle,24.0,26.0,0.9230769230769231,0.9976347813147723
H1M412949,H1M412949.pickle,24.0,27.0,0.8888888888888888,0.8349103
H1M413802,H1M413802.pickle,33.0,38.0,0.868421052631579,0.9936335527456438
H1M413815,H1M413815.pickle,35.0,40.0,0.875,0.9881546999427666
H1M413822,H1M413822.pickle,29.0,32.0,0.90625,0.9758513002972894
H1M413827,H1M413827.pickle,26.0,28.0,0.9285714285714286,0.9898831467027384
H1M414905,H1M414905.pickle,31.0,34.0,0.9117647058823529,0.9027712805542559
H1M511833,H1M511833.pickle,20.0,23.0,0.8695652173913043,0.9934911699874764
