,metabolite,name,description
0,pi,"""Phosphate""","""Human Metabolome Database (HMDB): Phosphate is a salt of phosphoric acid. In organic chemistry, a phosphate, or organophosphate, is an ester of phosphoric acid. Organic phosphates are important in biochemistry, biogeochemistry and ecology. Phosphate (Pi) is an essential component of life. In biological systems, phosphorus is found as a free phosphate ion in solution and is called inorganic phosphate, to distinguish it from phosphates bound in various phosphate esters. Inorganic phosphate is generally denoted Pi and at physiological (neutral) pH primarily consists of a mixture of HPO<sup>2-</sup><sub>4</sub> and H<sub>2</sub>PO<sup>-</sup><sub>4</sub> ions. phosphates are most commonly found in the form of adenosine phosphates, (AMP, ADP and ATP) and in DNA and RNA and can be released by the hydrolysis of ATP or ADP. Similar reactions exist for the other nucleoside diphosphates and triphosphates. Phosphoanhydride bonds in ADP and ATP, or other nucleoside diphosphates and triphosphates, contain high amounts of energy which give them their vital role in all living organisms. Phosphate must be actively transported into cells against its electrochemical gradient. In vertebrates, two unrelated families of Na+-dependent Pi transporters carry out this task. Remarkably, the two families transport different Pi species: whereas type II Na+/Pi cotransporters (SCL34) prefer divalent HPO4(2), type III Na+/Pi cotransporters (SLC20) transport monovalent H2PO4. The SCL34 family comprises both electrogenic and electroneutral members that are expressed in various epithelia and other polarized cells. Through regulated activity in apical membranes of the gut and kidney, they maintain body Pi homeostasis, and in salivary and mammary glands, liver, and testes they play a role in modulating the Pi content of luminal fluids. Phosphate levels in the blood play an important role in hormone signaling and in bone homeostasis. In classical endocrine regulation, low serum phosphate induces the renal production of the seco-steroid hormone 1,25-dihydroxyvitamin D3 (1,25(OH)2D3). This active metabolite of vitamin D acts to restore circulating mineral (i.e. phosphate and calcium) levels by increasing absorption in the intestine, reabsorption in the kidney, and mobilization of calcium and phosphate from bone. Thus, chronic renal failure is associated with hyperparathyroidism, which in turn contributes to osteomalacia (softening of the bones). Another complication of chronic renal failure is hyperphosphatemia (low levels of phosphate in the blood). Hyperphosphatemia (excess levels of phosphate in the blood) is a prevalent condition in kidney dialysis patients and is associated with increased risk of mortality. Hypophosphatemia (hungry bone syndrome) has been associated to postoperative electrolyte aberrations and after parathyroidectomy (PMID: 17581921, 11169009, 11039261, 9159312, 17625581). Fibroblast growth factor 23 (FGF-23) has recently been recognized as a key mediator of phosphate homeostasis, its most notable effect being promotion of phosphate excretion. FGF-23 was discovered to be involved in diseases such as autosomal dominant hypophosphatemic rickets, X-linked hypophosphatemia, and tumor-induced osteomalacia in which phosphate wasting was coupled to inappropriately low levels of 1,25(OH)2D3. FGF-23 is regulated by dietary phosphate in humans. In particular it was found that phosphate restriction decreased FGF-23, and phosphate loading increased FGF-23."""
1,ala_D,"""D-Alanine""","""Human Metabolome Database (HMDB): Alanine is a nonessential amino acid made in the body from the conversion of the carbohydrate pyruvate or the breakdown of DNA and the dipeptides carnosine and anserine. It is highly concentrated in muscle and is one of the most important amino acids released by muscle, functioning as a major energy source. Plasma alanine is often decreased when the BCAA (Branched Chain Amino Acids) are deficient. This finding may relate to muscle metabolism. Alanine is highly concentrated in meat products and other high-protein foods like wheat germ and cottage cheese. Alanine is an important participant as well as regulator in glucose metabolism. Alanine levels parallel blood sugar levels in both diabetes and hypoglycemia, and alanine reduces both severe hypoglycemia and the ketosis of diabetes. It is an important amino acid for lymphocyte reproduction and immunity. Alanine therapy has helped dissolve kidney stones in experimental animals. Normal alanine metabolism, like that of other amino acids, is highly dependent upon enzymes that contain vitamin B6. Alanine, like GABA, taurine and glycine, is an inhibitory neurotransmitter in the brain. http://www.dcnutrition.com/AminoAcids/)."""
2,phe_L,"""L-Phenylalanine""","""Human Metabolome Database (HMDB): Phenylalanine is an essential amino acid and the precursor of the amino acid tyrosine. Like tyrosine, phenylalanine is also a precursor for catecholamines including tyramine, dopamine, epinephrine, and norepinephrine. Catecholamines are neurotransmitters that act as adrenalin-like substances. Interestingly, several psychotropic drugs (mescaline, morphine, codeine, and papaverine) also have phenylalanine as a constituent. Phenylalanine is highly concentrated in the human brain and plasma. Normal metabolism of phenylalanine requires biopterin, iron, niacin, vitamin B6, copper, and vitamin C. An average adult ingests 5 g of phenylalanine per day and may optimally need up to 8 g daily. Phenylalanine is highly concentrated in a number of high protein foods, such as meat, cottage cheese, and wheat germ. An additional dietary source of phenylalanine is artificial sweeteners containing aspartame. As a general rule, aspartame should be avoided by phenylketonurics and pregnant women. When present in sufficiently high levels, phenylalanine can act as a neurotoxin and a metabotoxin. A neurotoxin is a compound that disrupts or attacks neural cells and neural tissue. A metabotoxin is an endogenously produced metabolite that causes adverse health effects at chronically high levels. Chronically high levels of phenylalanine are associated with at least five inborn errors of metabolism, including Hartnup disorder, hyperphenylalaninemia due to guanosine triphosphate cyclohydrolase deficiency, phenylketonuria (PKU), tyrosinemia type 2 (or Richner-Hanhart syndrome), and tyrosinemia type III (TYRO3). Phenylketonurics have elevated serum plasma levels of phenylalanine up to 400 times normal. High plasma concentrations of phenylalanine influence the blood-brain barrier transport of large neutral amino acids. The high plasma phenylalanine concentrations increase phenylalanine entry into the brain and restrict the entry of other large neutral amino acids (PMID: 19191004). Phenylalanine has been found to interfere with different cerebral enzyme systems. Untreated phenylketonuria (PKU) can lead to intellectual disability, seizures, behavioural problems, and mental disorders. It may also result in a musty smell and lighter skin. Classic PKU dramatically affects myelination and white matter tracts in untreated infants; this may be one major cause of neurological disorders associated with phenylketonuria. Mild phenylketonuria can act as an unsuspected cause of hyperactivity, learning problems, and other developmental problems in children. It has been recently suggested that PKU may resemble amyloid diseases, such as Alzheimer's disease and Parkinson's disease, due to the formation of toxic amyloid-like assemblies of phenylalanine (PMID: 22706200). Phenylalanine also has some potential benefits. Phenylalanine can act as an effective pain reliever. Its use in premenstrual syndrome and Parkinson's may enhance the effects of acupuncture and electric transcutaneous nerve stimulation (TENS). Phenylalanine and tyrosine, like L-DOPA, produce a catecholamine-like effect. Phenylalanine is better absorbed than tyrosine and may cause fewer headaches. Low phenylalanine diets have been prescribed for certain cancers with mixed results. For instance, some tumours use more phenylalanine than others (particularly melatonin-producing tumours called melanomas)."""
3,tyr_L,"""L-Tyrosine""","""Human Metabolome Database (HMDB): Tyrosine is an essential amino acid that readily passes the blood-brain barrier. Once in the brain, it is a precursor for the neurotransmitters dopamine, norepinephrine and epinephrine, better known as adrenalin. These neurotransmitters are an important part of the body's sympathetic nervous system, and their concentrations in the body and brain are directly dependent upon dietary tyrosine. Tyrosine is not found in large concentrations throughout the body, probably because it is rapidly metabolized. Folic acid, copper and vitamin C are cofactor nutrients of these reactions. Tyrosine is also the precursor for hormones, thyroid, catecholestrogens and the major human pigment, melanin. Tyrosine is an important amino acid in many proteins, peptides and even enkephalins, the body's natural pain reliever. Valine and other branched amino acids, and possibly tryptophan and phenylalanine may reduce tyrosine absorption. A number of genetic errors of tyrosine metabolism occur, such as hawkinsinuria and tyrosinemia I. Most common is the increased amount of tyrosine in the blood of premature infants, which is marked by decreased motor activity, lethargy and poor feeding. Infection and intellectual deficits may occur. Vitamin C supplements reverse the disease. Some adults also develop elevated tyrosine in their blood. This indicates a need for more vitamin C. More tyrosine is needed under stress, and tyrosine supplements prevent the stress-induced depletion of norepinephrine and can cure biochemical depression. However, tyrosine may not be good for psychosis. Many antipsychotic medications apparently function by inhibiting tyrosine metabolism. L-dopa, which is directly used in Parkinson's, is made from tyrosine. Tyrosine, the nutrient, can be used as an adjunct in the treatment of Parkinson's. Peripheral metabolism of tyrosine necessitates large doses of tyrosine, however, compared to L-dopa (http://www.dcnutrition.com)."""
4,arg_L,"""L-Arginine""","""Human Metabolome Database (HMDB): Arginine is an essential amino acid that is physiologically active in the L-form. In mammals, arginine is formally classified as a semiessential or conditionally essential amino acid, depending on the developmental stage and health status of the individual. Infants are unable to effectively synthesize arginine, making it nutritionally essential for infants. Adults, however, are able to synthesize arginine in the urea cycle. Arginine can be considered to be a basic amino acid as the part of the side chain nearest to the backbone is long, carbon-containing and hydrophobic, whereas the end of the side chain is a complex guanidinium group. With a pKa of 12.48, the guanidinium group is positively charged in neutral, acidic and even most basic environments. Because of the conjugation between the double bond and the nitrogen lone pairs, the positive charge is delocalized. This group is able to form multiple H-bonds. L-arginine is an amino acid that has numerous functions in the body. It helps dispose of ammonia, is used to make compounds such as nitric oxide, creatine, L-glutamate, L-proline, and it can be converted to glucose and glycogen if needed. In large doses, L-arginine also stimulates the release of hormones, growth hormone and prolactin. Arginine is a known inducer of MTOR (mammalian target of rapamycin) and is responsible for inducing protein synthesis through the MTOR pathway. MTOR inhibition by rapamycin partially reduces arginine-induced protein synthesis (PMID: 20841502). Catabolic disease states such as sepsis, injury, and cancer cause an increase in arginine utilization, which can exceed normal body production, leading to arginine depletion. Arginine also activates AMP kinase (AMPK) which then stimulates skeletal muscle fatty acid oxidation and muscle glucose uptake, thereby increasing insulin secretion by pancreatic beta-cells (PMID: 21311355). Moreover, L-arginine is found to be associated with argininemia, cystinuria, hyperdibasic aminoaciduria I, maple syrup urine disease, propionic acidemia, and tyrosinemia I, which are inborn errors of metabolism. Arginine is found in plant and animal proteins, such as dairy products, meat, poultry, fish, and nuts. The ratio of L-arginine to lysine is also important - soy and other plant proteins have more L-arginine than animal sources of protein."""
5,his_L,"""L-Histidine""","""Human Metabolome Database (HMDB): Histidine is an alpha-amino acid with an imidazole functional group. It is one of the 22 proteinogenic amino acids. Histidine was first isolated by German physician Albrecht Kossel in 1896. Histidine is an essential amino acid in humans and other mammals. It was initially thought that it was only essential for infants, but longer-term studies established that it is also essential for adults. Infants four to six months old require 33 mg/kg of histidine. It is not clear how adults make small amounts of histidine, and dietary sources probably account for most of the histidine in the body. Histidine is a precursor for histamine and carnosine biosynthesis. Inborn errors of histidine metabolism, including histidinemia, maple syrup urine disease, propionic acidemia, and tyrosinemia I, exist and are marked by increased histidine levels in the blood. Elevated blood histidine is accompanied by a wide range of symptoms, from mental and physical retardation to poor intellectual functioning, emotional instability, tremor, ataxia and psychosis. Histidine and other imidazole compounds have anti-oxidant, anti-inflammatory and anti-secretory properties (PMID: 9605177). The efficacy of L-histidine in protecting inflamed tissue is attributed to the capacity of the imidazole ring to scavenge reactive oxygen species (ROS) generated by cells during acute inflammatory response (PMID: 9605177). Histidine, when administered in therapeutic quantities is able to inhibit cytokines and growth factors involved in cell and tissue damage (US patent 6150392). Histidine in medical therapies has its most promising trials in rheumatoid arthritis where up to 4.5 g daily have been used effectively in severely affected patients. Arthritis patients have been found to have low serum histidine levels, apparently because of very rapid removal of histidine from their blood (PMID: 1079527). Other patients besides arthritis patients that have been found to be low in serum histidine are those with chronic renal failure. Urinary levels of histidine are reduced in pediatric patients with pneumonia (PMID: 2084459). Asthma patients exhibit increased serum levels of histidine over normal controls (PMID: 23517038).  Serum histidine levels are lower and are negatively associated with inflammation and oxidative stress in obese women (PMID: 23361591).  Histidine supplementation has been shown to reduce insulin resistance, reduce BMI and fat mass and suppress inflammation and oxidative stress in obese women with metabolic syndrome.  Histidine appears to suppress pro-inflammatory cytokine expression, possibly via the NF-κB pathway, in adipocytes (PMID: 23361591). Low plasma concentrations of histidine are associated with protein-energy wasting, inflammation, oxidative stress, and greater mortality in chronic kidney disease patients (PMID: 18541578). Histidine may have many other possible functions because it is the precursor of the ubiquitous neurohormone-neurotransmitter histamine. Histidine increases histamine in the blood and probably in the brain. Low blood histamine with low serum histidine occurs in rheumatoid arthritis patients. Low blood histamine also occurs in some manic, schizophrenic, high copper and hyperactive groups of psychiatric patients. Histidine is a useful therapy in all patients with low histamine levels (http://www.dcnutrition.com )."""
6,lys_L,"""L-Lysine""","""Human Metabolome Database (HMDB): L-lysine is an essential amino acid. Normal requirements for lysine have been found to be about 8 g per day or 12 mg/kg in adults. Children and infants need more, 44 mg/kg per day for an eleven to-twelve-year old, and 97 mg/kg per day for three-to six-month old. Lysine is highly concentrated in muscle compared to most other amino acids. Lysine is high in foods such as wheat germ, cottage cheese and chicken. Of meat products, wild game and pork have the highest concentration of lysine. Fruits and vegetables contain little lysine, except avocados. Normal lysine metabolism is dependent upon many nutrients including niacin, vitamin B6, riboflavin, vitamin C, glutamic acid and iron. Excess arginine antagonizes lysine. Several inborn errors of lysine metabolism are known, such as cystinuria, hyperdibasic aminoaciduria I, lysinuric protein intolerance, propionic acidemia, and tyrosinemia I. Most are marked by mental retardation with occasional diverse symptoms such as absence of secondary sex characteristics, undescended testes, abnormal facial structure, anemia, obesity, enlarged liver and spleen, and eye muscle imbalance. Lysine also may be a useful adjunct in the treatment of osteoporosis. Although high protein diets result in loss of large amounts of calcium in urine, so does lysine deficiency. Lysine may be an adjunct therapy because it reduces calcium losses in urine. Lysine deficiency also may result in immunodeficiency. Requirements for this amino acid are probably increased by stress. Lysine toxicity has not occurred with oral doses in humans. Lysine dosages are presently too small and may fail to reach the concentrations necessary to prove potential therapeutic applications. Lysine metabolites, amino caproic acid and carnitine have already shown their therapeutic potential. Thirty grams daily of amino caproic acid has been used as an initial daily dose in treating blood clotting disorders, indicating that the proper doses of lysine, its precursor, have yet to be used in medicine. Low lysine levels have been found in patients with Parkinson's, hypothyroidism, kidney disease, asthma and depression. The exact significance of these levels is unclear, yet lysine therapy can normalize the level and has been associated with improvement of some patients with these conditions. Abnormally elevated hydroxylysines have been found in virtually all chronic degenerative diseases and coumadin therapy. The levels of this stress marker may be improved by high doses of vitamin C. Lysine is particularly useful in therapy for marasmus (wasting) and herpes simplex. It stops the growth of herpes simplex in culture, and has helped to reduce the number and occurrence of cold sores in clinical studies. Dosing has not been adequately studied, but beneficial clinical effects occur in doses ranging from 100 mg to 4 g a day. Higher doses may also be useful, and toxicity has not been reported in doses as high as 8 g per day. Diets high in lysine and low in arginine can be useful in the prevention and treatment of herpes. Some researchers think herpes simplex virus is involved in many other diseases related to cranial nerves such as migraines, Bell's palsy and Meniere's disease. Herpes blister fluid will produce fatal encephalitis in the rabbit (http://www.dcnutrition.com)."""
7,asn_L,"""L-Asparagine""","""Human Metabolome Database (HMDB): Asparagine (Asn) is one of the 20 most common natural amino acids on Earth. It has carboxamide as the side chain's functional group. It is considered a non-essential amino acid. Asparagine is not an essential amino acid, which means that it can be synthesized from central metabolic pathway intermediates in humans and is not required in the diet. The precursor to asparagine is oxaloacetate. Oxaloacetate is converted to aspartate using a transaminase enzyme. The enzyme transfers the amino group from glutamate to oxaloacetate producing alpha-ketoglutarate and aspartate. The enzyme asparagine synthetase produces asparagine, AMP, glutamate, and pyrophosphate from aspartate, glutamine, and ATP. In the asparagine synthetase reaction, ATP is used to activate aspartate, forming beta-aspartyl-AMP. glutamine donates an ammonium group which reacts with beta-aspartyl-AMP to form asparagine and free AMP. Since the asparagine side chain can make efficient hydrogen bond interactions with the peptide backbone, asparagines are often found near the beginning and end of alpha-helices, and in turn motifs in beta sheets. Its role can be thought as \""capping\"" the hydrogen bond interactions which would otherwise need to be satisfied by the polypeptide backbone. glutamines have an extra methylene group, have more conformational entropy and thus are less useful in this regard. Asparagine also provides key sites for N-linked glycosylation, modification of the protein chain with the addition of carbohydrate chains. A reaction between asparagine and reducing sugars or reactive carbonyls produces acrylamide (acrylic amide) in food when heated to sufficient temperature, i.e. baking. These occur primarily in baked goods such as french fries, potato chips, and roasted coffee. Asparagine was first isolated in 1806 from asparagus juice, in which it is abundant--hence its name--becoming the first amino acid to be isolated. The smell observed in the urine of some individuals after their consumption of asparagus is attributed to a byproduct of the metabolic breakdown of asparagine, asparagine-amino-succinic-acid monoamide. (However, some scientists disagree and implicate other substances in the smell, especially methanethiol). (http://en.wikipedia.org/wiki/Asparagine)."""
8,gln_L,"""L-Glutamine""","""Human Metabolome Database (HMDB): Glutamine (Gln) is one of the 20 amino acids encoded by the standard genetic code. In humans it is considered a non-essential amino acid. Structurally, glutamine is similar to the amino acid glutamic acid. However, instead of having a terminal carboxylic acid, it has an amide. Enzymatically, glutamine is formed by replacing a side-chain hydroxyl of glutamic acid with an amine functional group. Glutamine is found in foods high in proteins, such as fish, red meat, beans, and dairy products. Glutamine is often used as a supplement in weightlifting, bodybuilding, endurance and other sports, as well as by those who suffer from muscular cramps or pain, particularly elderly people. The main use of glutamine within the diet of either group is as a means of replenishing the body's stores of amino acids that have been used during exercise or everyday activities. Studies which have looked into problems with excessive consumption of glutamine thus far have proved inconclusive. However, normal supplementation is healthy mainly because glutamine is supposed to be supplemented after prolonged periods of exercise (for example, a workout or exercise in which amino acids are required for use) and replenishes amino acid stores. This is one of the main reasons glutamine is recommended during fasting or for people who suffer from physical trauma, immune deficiencies, or cancer. There is a significant body of evidence that links glutamine-enriched diets with positive intestinal effects. These include maintenance of gut barrier function, aiding intestinal cell proliferation and differentiation, as well as generally reducing septic morbidity and the symptoms of Irritable Bowel Syndrome (IBS). The reason for such \""cleansing\"" properties is thought to stem from the fact that the intestinal extraction rate of glutamine is higher than that for other amino acids, and is therefore thought to be the most viable option when attempting to alleviate conditions relating to the gastrointestinal tract. These conditions were discovered after comparing plasma concentration within the gut between glutamine-enriched and non glutamine-enriched diets. However, even though glutamine is thought to have \""cleansing\"" properties and effects, it is unknown to what extent glutamine has clinical benefits, due to the varied concentrations of glutamine in varieties of food. It is also known that glutamine has positive effects in reducing healing time after operations. Hospital waiting times after abdominal surgery are reduced by providing parenteral nutrition regimens containing amounts of glutamine to patients. Clinical trials have revealed that patients on supplementation regimes containing glutamine have improved nitrogen balances, generation of cysteinyl-leukotrienes from polymorphonuclear neutrophil granulocytes and improved lymphocyte recovery and intestinal permeability (in postoperative patients) - in comparison to those who had no glutamine within their dietary regime; all without any side-effects (http://en.wikipedia.org/wiki/glutamine). L-Glutamine is found to be associated with carbamoyl phosphate synthetase deficiency, which is an inborn error of metabolism."""
9,g6p,"""Glucose 6-phosphate""","""Human Metabolome Database (HMDB): Glucose 6 phosphate (alpha-D-glucose 6 phosphate or G6P) is the alpha-anomer of glucose-6-phosphate. There are two anomers of glucose 6 phosphate, the alpha anomer and the beta anomer. Glucose 6 phosphate is an ester of glucose with phosphoric acid, made in the course of glucose metabolism by mammalian and other cells. It is a normal constituent of resting muscle and probably is in constant equilibrium with fructose-6-phosphate. (Stedman, 26th ed). Glucose-6-phosphate is a phosphorylated glucose molecule on carbon 6. When glucose enters a cell, it is immediately phosphorylated to G6P. This is catalyzed with hexokinase enzymes, thus consuming one ATP. A major reason for immediate phosphorylation of the glucose is so that it cannot diffuse out of the cell. The phosphorylation adds a charged group so the G6P cannot easily cross cell membranes. G6P can travel down two metabolic pathways, glycolysis and the pentose phosphate pathway. In addition to the metabolic pathways, G6P can also be stored as glycogen in the liver if blood glucose levels are high. If the body needs energy or carbon skeletons for syntheses, G6P can be isomerized to Fructose-6-phosphate and then phosphorylated to Fructose-1,6-bisphosphate. Note, the molecule now has 2 phosphoryl groups attached. The addition of the 2nd phosphoryl group is an irreversible step, so once this happens G6P will enter glycolysis and be turned into pyruvate (ATP production occurs). If blood glucose levels are high, the body needs a way to store the excess glucose. After being converted to G6P, phosphoglucose mutase (isomerase) can turn the molecule into glucose-1-phosphate. Glucose-1-phosphate can then be combined with uridine triphosphate (UTP) to form UDP-glucose. This reaction is driven by the hydrolysis of pyrophosphate that is released in the reaction. Now, the activated UDP-glucose can add to a growing glycogen molecule with the help of glycogen synthase. This is a very efficient storage mechanism for glucose since it costs the body only 1 ATP to store the 1 glucose molecule and virtually no energy to remove it from storage. It is important to note that glucose-6-phosphate is an allosteric activator of glycogen synthase, which makes sense because when the level of glucose is high the body should store the excess glucose as glycogen. On the other hand, glycogen synthase is inhibited when it is phosphorylated by protein kinase a during times of high stress or low blood glucose levels. -- Wikipedia."""
