metabolite,name,molecular_weight,C_number,N_number,bigg.metabolite,biocyc,chebi,hmdb,inchi,kegg.compound,lipidmaps,metanetx.chemical,pubchem.compound,sbo,seed.compound,reaction
26dap_M[e],"meso-2,6-Diaminoheptanedioate",190.19706,7,2,26dap__M,LL-DIAMINOPIMELATE,CHEBI:16026,HMDB01370,"InChI=1S/C7H14N2O4/c8-4(6(10)11)2-1-3-5(9)7(12)13/h4-5H,1-3,8-9H2,(H,10,11)(H,12,13)/t4-,5-/m0/s1",C00680,LMFA01170102,MNXM644,3949,['SBO:0000247'],cpd00516,EX_26dap_M(e)
4hbz[e],4-hydroxybenzoate,137.1128,7,0,4hbz,4-hydroxybenzoate,CHEBI:30763,HMDB0000500,InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,C00156,,MNXM164,135,['SBO:0000247'],cpd00136,EX_4hbz(e)
ac[e],Acetate,59.04402,2,0,ac,ACET,CHEBI:15366,HMDB0000042,InChI=1S/C2H4O2/c1-2(3)4/h1H3,C00033,LMFA01010002,MNXM26,176,['SBO:0000247'],cpd00029,EX_ac(e)
acgam[e],N-acetyl-D-glucosamine,221.2078,8,1,acgam,N-acetyl-D-glucosamine,CHEBI:506227,HMDB0000215,InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,C00140,,MNXM1105935,439174,['SBO:0000247'],cpd00122,EX_acgam(e)
ala_L[e],L-alanine,89.09318,3,1,ala__L,L-ALPHA-ALANINE,CHEBI:16977,HMDB0000161,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1",C00041,,MNXM1105732,5950,['SBO:0000247'],cpd00035,EX_ala_L(e)
alaasp[e],L-alanyl-L-aspartate,203.17264,7,2,NaN,NaN,,,,,,,,['SBO:0000247'],cpd11593,EX_alaasp(e)
alagln[e],L-alanyl-L-glutamine,217.22240000000002,8,3,NaN,NaN,,,,,,,,['SBO:0000247'],cpd11587,EX_alagln(e)
alaglu[e],L-alanyl-L-glutamate,217.19921999999997,8,2,NaN,NaN,,,,,,,,['SBO:0000247'],cpd11586,EX_alaglu(e)
alagly[e],L-alanylglycine,146.1445,5,2,alagly,NaN,,,,,,,,['SBO:0000247'],cpd11585,EX_alagly(e)
alahis[e],L-alanyl-L-histidine,226.23246,9,4,alahis,CARNOSINE,CHEBI:15727,HMDB0000033,InChI=1S/C9H14N4O3/c10-2-1-8(14)13-7(9(15)16)3-6-4-11-5-12-6/h4-5,C00386,,,439224,['SBO:0000247'],cpd11584,EX_alahis(e)
