feature,enrich_group,ef_lda,pvalue,padj
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae,healthy,4.54607759,0.2778972,0.2778972
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales,healthy,4.54607759,0.2778972,0.2778972
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae,healthy,4.54607759,0.2778972,0.2778972
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia,healthy,4.54607598,0.2778972,0.2778972
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__muciniphila,healthy,4.54607598,0.2778972,0.2778972
k__Bacteria|p__Verrucomicrobia,healthy,4.54592469,0.3334572,0.3334572
k__Archaea,healthy,4.35537839,0.0004525054,0.0004525054
k__Archaea|p__Euryarchaeota,healthy,4.35537839,0.0004525054,0.0004525054
k__Archaea|p__Euryarchaeota|c__Methanobacteria,healthy,4.35529396,0.0004539875,0.0004539875
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales,healthy,4.35529396,0.0004539875,0.0004539875
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae,healthy,4.35529396,0.0004539875,0.0004539875
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__un_g__Methanobrevibacter,healthy,4.35465125,0.0004746674,0.0004746674
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter,healthy,4.35446559,0.0004824646,0.0004824646
k__Bacteria|p__Firmicutes,healthy,4.32919204,0.9841544,0.9841544
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Oscillospira,healthy,4.27846671,7.22633e-05,7.22633e-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Oscillospira|s__un_g__Oscillospira,healthy,4.27825334,7.278874e-05,7.278874e-05
k__Bacteria|p__Actinobacteria,healthy,4.15130872,0.2576066,0.2576066
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,healthy,4.05768873,0.02426503,0.02426503
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides_f__Bacteroidaceae,healthy,4.05767555,0.02431954,0.02431954
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales,healthy,4.05701035,0.1953734,0.1953734
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,healthy,4.05701035,0.1953734,0.1953734
