,ATE,CI2.5,CI97.5,pvalue,theta lower,theta upper,RV,rva,rmse ml_l,rmse ml_m
12dgr180_m,0.09393333284923394,-11.453633284646273,11.641499950344741,0.9872796515091092,-8.792015747180074,8.979882412878542,0.0011122110425910853,4.770477800812899e-06,11.209003568459261,0.13296632414770715
12ppd_S_m,0.2609562598534648,-1.3891680942509907,1.9110806139579206,0.7565949112039336,-1.2435056370284694,1.7654181567353988,0.018118421560398446,5.4862423052562865e-06,11.209003568459261,0.7852211349794331
26dap_M_m,18.04426885194437,-14.500522026195835,50.58905973008457,0.2771735866162517,-12.676008609477297,48.76454631336604,0.06002771128129738,3.6696475527101953e-06,11.209003568459261,0.0383874969415125
2dmmq8_m,-0.404777407021904,-0.5757956132851735,-0.23375920075863454,3.5014183562426196e-06,-1.1172708236501405,0.3077160096063326,0.058118425923543,0.024152177239702068,11.209003568459261,1.6553413643016326
2obut_m,-1.710400520088947,-5.347164008143027,1.9263629679651335,0.3566393865541786,-7.455154371769073,4.034353331591179,0.030895818471116075,4.52519407578677e-06,11.209003568459261,0.20557038806470565
3mop_m,-6.505716336597453,-17.028718140545603,4.017285467350697,0.22561819900188773,-19.95365670374501,6.942224030550107,0.04971056502162842,3.6096365639927776e-06,11.209003568459261,0.08774574111740087
4abz_m,0.4056518888848815,-1.5011022139031145,2.3124059916728776,0.6766988802897694,-1.333961603934842,2.145265381704605,0.024280477494534908,3.357467317139863e-06,11.209003568459261,0.6789875812172841
4hbz_m,0.8323797042242208,0.38991379738824905,1.2748456110601927,0.00022678759776801805,-0.511440856109811,2.1762002645582528,0.06319527193964,0.022725927736840037,11.209003568459261,0.8773658670499145
4hphac_m,-0.1465293263861963,-0.349577813051934,0.0565191602795414,0.15724387898396502,-0.42014594547639134,0.1270872927039987,0.05487902990821487,5.718409231553823e-06,11.209003568459261,4.311341539807271
ac_m,-0.2123911144379067,-0.5078284847497146,0.08304625587390124,0.15882748145111802,-0.5687712077070832,0.14398897883126976,0.060878484492479776,4.256710848856545e-06,11.209003568459261,3.3088497569560347
acac_m,1.0093524975413646,0.6469473799688026,1.3717576151139266,4.7938207866722134e-08,-0.9312689712011821,2.9499739662839115,0.05334321062165852,0.02438110706156407,11.209003568459261,0.6079294699347776
acgam_m,0.5546887753809552,0.29770118972530313,0.8116763610366072,2.3323682675502523e-05,-0.6266396106337903,1.7360171613957007,0.048285175294525216,0.023261612290273213,11.209003568459261,0.9989501475606145
acmana_m,-0.36380579611433633,-2.216970006194717,1.4893584139660445,0.7004061225081251,-2.104459612503135,1.3768480202744626,0.021790663973577533,6.661766105756799e-06,11.209003568459261,0.6786220630824082
acnam_m,-1.0131190957590197,-1.392760904927203,-0.6334772865908365,1.6914745910713868e-07,-3.0642500487211466,1.0380118572031074,0.05072753803670924,0.024806960033450356,11.209003568459261,0.5752604619501863
ade_m,0.619117017016737,0.08664812153677115,1.151585912496703,0.022672598428026776,-0.9593773114976465,2.1976113455311204,0.040498243997476355,0.014398493004973421,11.209003568459261,0.747879923831679
adn_m,-1.167637401443247,-1.6925465992744466,-0.6427282036120473,1.301494900367075e-05,-3.149709556600527,0.8144347537140331,0.06019863749413175,0.02426784290617485,11.209003568459261,0.5949638618276091
ala_D_m,0.9899424952460791,0.5913929002500702,1.388492090242088,1.1257287368075685e-06,-0.8006320565972505,2.7805170470894085,0.05660373386676429,0.02492290007126339,11.209003568459261,0.6587446785590746
ala_L_m,-3.3061407886318124,-14.581273444914569,7.968991867650945,0.5654883200315526,-15.211414137055751,8.599132559792128,0.02884796225403397,5.496782845934632e-06,11.209003568459261,0.09920199160738782
amet_m,1.8782124469769823,-2.804923788643177,6.561348682597141,0.4318320013921517,-2.0773121455286763,5.83373703948264,0.04881515201469099,4.092949126799985e-06,11.209003568459261,0.2983309776364749
amp_m,9.225443947995506,2.5431319850956946,15.907755910895318,0.006812354780155409,1.356925613498019,17.093962282492996,0.11618645551012348,0.03268362188897247,11.209003568459261,0.14902571339069243
amylopect900_m,-1.809910455741508,-2.7901801262049344,-0.8296407852780816,0.0002960195943427645,-3.4014910169899775,-0.21832989449303852,0.1129005763378923,0.04516924433677954,11.209003568459261,0.7370878088459129
amylose300_m,0.7651253227404848,-0.2563903103691014,1.786640955850071,0.1420954143042456,-1.6369214062058015,3.167172051686771,0.033017726341214575,4.687288531143054e-06,11.209003568459261,0.49160878747971337
arab_D_m,21.136015013860302,1.996433479859963,40.275596547860644,0.03043319135952404,-4.416229371271594,46.6882593989922,0.08347294161884215,0.021191041604673236,11.209003568459261,0.046065111095871365
arab_L_m,-1.55826865448874,-2.4956865017699887,-0.6208508072074915,0.0011218223136705268,-3.9823322265651036,0.8657949175876234,0.06550384328409216,0.021337428000090274,11.209003568459261,0.4863030561798968
arabinogal_m,-0.12068431680921637,-2.0405268777549384,1.7991582441365055,0.9019436478412468,-2.302087030478061,2.0607183968596283,0.005816316144577855,4.962916162336348e-06,11.209003568459261,0.5416297601881045
arabinoxyl_m,-1.2584253133774603,-1.890816106347542,-0.6260345204073787,9.610213276094993e-05,-3.338379760704521,0.8215291339496003,0.06177421861486322,0.022603237559454283,11.209003568459261,0.5669053040268265
arg_L_m,1.001697115916407,0.38094882639772765,1.6224454054350863,0.001562703809887773,-1.3281757665192988,3.331569998352113,0.044304364960389205,0.0223349724356965,11.209003568459261,0.5066032814011967
asn_L_m,-2.5686199571365043,-4.179345485874513,-0.957894428398496,0.0017747311066915472,-4.889304045336095,-0.247935868936914,0.1100640463071821,0.04032187986089607,11.209003568459261,0.5057010262013565
asp_L_m,0.009229014057969097,-1.6990598030192297,1.717517831135168,0.9915516081941682,-1.8228119480737697,1.841269976189708,0.0005294510081406727,5.123072368170264e-06,11.209003568459261,0.6449269296313583
btn_m,-1.111486750924443,-1.8666886033072883,-0.35628489854159784,0.00391880384872782,-3.3775217571613787,1.1545482553124928,0.05038403742085568,0.01873648360940371,11.209003568459261,0.5207142138166136
but_m,1.3227354596636864,0.3934034433820347,2.252067475945338,0.005276455659205447,-1.0523520690644523,3.697822988391825,0.057006977678321524,0.018620550072187086,11.209003568459261,0.4966141396484466
ca2_m,-5.484736899312955,-9.567731221159903,-1.401742577466007,0.008467324777496343,-11.453573004825884,0.48409920619997493,0.0922818376318613,0.0230242082715631,11.209003568459261,0.19702818060241697
cellb_m,-7.2843765639082045,-16.42028798739262,1.8515348595762111,0.11811217797134416,-19.89806017027899,5.329307042462578,0.05904921174641878,5.738648219460371e-06,11.209003568459261,0.0934976394089985
cellul_m,-0.45198156704908327,-1.143796595830431,0.23983346173226444,0.20037013284975114,-1.2938278616806893,0.38986472758252283,0.05501498616986709,3.7772800045049775e-06,11.209003568459261,1.4012595149362101
cgly_m,2.029665989957552,0.928897995960507,3.130433983954597,0.0003016182580274098,0.23838439668785316,3.820947583227251,0.11251802962680973,0.04491415427908232,11.209003568459261,0.6549469434326394
chol_m,2.342801248562169,0.7560709362932525,3.929531560831086,0.003805143517481837,0.09007382124258667,4.595528675881752,0.10378109779820198,0.03209458435481122,11.209003568459261,0.5213664884276532
chor_m,-1.6652974062235624,-3.4435928226180987,0.11299801017097422,0.06644315233988553,-4.012211107689645,0.6816162952425209,0.07205037414024106,0.007284287773327504,11.209003568459261,0.5020387362845776
cit_m,-0.4108058674664276,-0.6364484363396683,-0.18516329859318686,0.0003592786802103463,-1.0882514827823009,0.2666397478494456,0.06191049646030208,0.021600193365804866,11.209003568459261,1.740547557506311
cl_m,-2.052625912798073,-3.542953350646439,-0.5622984749497071,0.0069453006532990535,-4.614316826066526,0.5090650004703798,0.0809705098873465,0.023578436097887956,11.209003568459261,0.45959514214646113
co2_m,-1.1907380438751018,-2.0537544694509675,-0.3277216182992361,0.006846078845998753,-2.3887751957982264,0.007299108048022918,0.09942095550999054,0.037456164373796355,11.209003568459261,0.9808554626380657
