,ATE,CI2.5,CI97.5,pvalue,theta lower,theta upper,RV,rva,rmse ml_l,rmse ml_m
12dgr180_m,-0.037913425445560256,-0.15702639472961,0.0811995438384895,0.5327243211053446,-0.12937569922113776,0.053548848330017246,0.0427510130105916,4.906493245249215e-06,0.9022116206767928,1.0387976967523613
12ppd_S_m,0.00042988746792940003,-0.08425275447964274,0.08511252941550153,0.9920614465543728,-0.0860865334653366,0.08694630840119538,0.0005222131582541218,4.559384455754069e-06,0.9022116206767928,1.0992299614723091
26dap_M_m,0.1594779719053115,0.11227115704696472,0.20668478676365826,3.5602300532162506e-11,0.07479602615177636,0.24415991765884662,0.17978550647440789,0.10996438742838702,0.9022116206767928,1.101548038746438
2dmmq8_m,-0.059799434498088895,-0.09033302819244557,-0.029265840803732228,0.0001237628190684382,-0.14398502391816276,0.02438615492198496,0.07212461350268724,0.02891156642825794,0.9022116206767928,1.1265109376355609
2obut_m,-0.013720680547316235,-0.09761288018859099,0.07017151909395852,0.7485478639483889,-0.10349704005416019,0.07605567895952772,0.01598178131880498,3.866654893360513e-06,0.9022116206767928,1.0591776861463957
3mop_m,-0.08170684627227047,-0.1420986226015823,-0.02131506994295866,0.00800813717474558,-0.17517738663482818,0.011763694090287227,0.0879953672072951,0.04455368265787947,0.9022116206767928,1.013156507012157
4abz_m,0.0024016839778919826,-0.0812580180903562,0.08606138604614015,0.9551297392217042,-0.08413645516896573,0.08893982312474968,0.002919579501205087,5.959340677237758e-06,0.9022116206767928,1.098949539394071
4hbz_m,0.0673222250556184,0.0268940561778929,0.1077503939333439,0.0010993181663001709,-0.018736000610118778,0.1533804507213556,0.07913055682283665,0.026197474273008427,0.9022116206767928,1.101344623226083
4hphac_m,-0.11537000303197702,-0.15482855031442397,-0.07591145574953007,1.0007750648655722e-08,-0.20579635192275963,-0.024943654141194385,0.12574771793247658,0.054892218155737686,0.9022116206767928,1.0423170395838501
ac_m,-0.07872244850521841,-0.16619396348924392,0.008749066478807091,0.07774466150264263,-0.16688126047091878,0.009436363460481975,0.08980023016652208,0.006321081204700403,0.9022116206767928,1.0740043180518901
acac_m,0.06314842259345153,0.029298081019433812,0.09699876416746925,0.0002558338384958902,-0.02367541159566129,0.14997225678256437,0.07378347325629946,0.026867019033501874,0.9022116206767928,1.0921332251147724
