,ATE,CI2.5,CI97.5,pvalue,theta lower,theta upper,RV,rva,rmse ml_l,rmse ml_m
12dgr180_m,-0.01855153798171378,-0.1559660300612828,0.11886295409785524,0.7913149754837812,-0.10484544565535298,0.0677423696919254,0.02240656915474185,5.082452056846744e-06,0.8749612922856814,1.0685035498597595
12ppd_S_m,0.022135999199775866,-0.04713116572097607,0.0914031641205278,0.5310828181448028,-0.06417062316862769,0.10844262156817942,0.026673240547561646,3.7065656478225285e-06,0.8749612922856814,1.0682300890747265
26dap_M_m,0.1618779329127447,0.10714213211304682,0.21661373371244255,6.772167130012201e-09,0.07867028044408804,0.24508558538140135,0.18511810574684948,0.10569449500506434,0.8749612922856814,1.0858234713793973
2dmmq8_m,-0.034915296039008004,-0.09082208797685071,0.020991495898834693,0.22093327125151552,-0.11957539620763138,0.04974480412961538,0.0425383485564564,6.02407607806961e-06,0.8749612922856814,1.0883756468539405
2obut_m,-0.01909092414003336,-0.08780957356809668,0.04962772528802997,0.5860952546314504,-0.1050441151280135,0.06686226684794679,0.02314069420704491,5.852391632963856e-06,0.8749612922856814,1.0727205194969374
3mop_m,-0.05692458531458632,-0.14431804517641617,0.030468874547243514,0.20172876510223436,-0.14555879932858662,0.03170962869941398,0.0654456019937323,6.364500947098166e-06,0.8749612922856814,1.0381814512087824
4abz_m,0.031264752994983484,-0.04638419312755398,0.10891369911752094,0.4300158818509314,-0.05141036298547689,0.11393986897544386,0.0390758834944744,5.21335207816098e-06,0.8749612922856814,1.114674342432962
4hbz_m,0.047158582176598574,-0.026625290736475696,0.12094245508967284,0.21031458511506873,-0.03626680323152301,0.13058396758472016,0.057837012339117706,4.222284364836115e-06,0.8749612922856814,1.103569681842456
4hphac_m,-0.08726722724320353,-0.11848847456375257,-0.05604597992265449,4.293334437443021e-08,-0.1728246299739859,-0.0017098245124211736,0.10189266803862448,0.06361445122871293,0.8749612922856814,1.0718012149625824
ac_m,-0.09102284806240821,-0.17429848886196214,-0.007747207262854258,0.03216925354655453,-0.17802287017536628,-0.004022825949450151,0.10437087728592448,0.02498755096788043,0.8749612922856814,1.0537148991751129
acac_m,0.03657264201469017,-0.02065020840721806,0.0937954924365984,0.21032765338446258,-0.04775558539104227,0.12090086942042261,0.04468272038442203,3.766501160636002e-06,0.8749612922856814,1.0925498789018147
acgam_m,0.03374101736222955,-0.02167625211003031,0.08915828683448941,0.2327395314902242,-0.05040296555193777,0.11788500027639687,0.04138477364566799,5.9269339724730306e-06,0.8749612922856814,1.0951078978852216
acmana_m,-0.044633446161723045,-0.12222223070197921,0.03295533837853312,0.259538806542702,-0.13013477346821128,0.04086788114476518,0.05353294461986525,6.4999770432170415e-06,0.8749612922856814,1.0770558796274488
