"logfc" "p" "metabolite"
"MGlcn193_m" 2.96400188348343 0.0167549342454268 "MGlcn193_m"
"MGlcn15_rl_m" 2.83847100139957 0.0246307280134275 "MGlcn15_rl_m"
"MGlcn24_m" 3.07947910090337 0.0113902167398558 "MGlcn24_m"
"MGlcn185_m" 15.7527654165354 0.0141430051330198 "MGlcn185_m"
"MGlcn14_m" 15.7527654165354 0.0141430051330198 "MGlcn14_m"
"MGlcn97_rl_m" 15.1678029158143 0.046496196573506 "MGlcn97_rl_m"
"MGlcn22_rl_m" 2.96400188348343 0.0167549342454268 "MGlcn22_rl_m"
"MGlcn116_rl_m" 15.7527654165354 0.0141430051330198 "MGlcn116_rl_m"
"MGlcn172_rl_m" 15.3901953371507 0.0311649678960177 "MGlcn172_rl_m"
"gsn_m" 2.96400188348343 0.0167549342454268 "gsn_m"
"MGlcn3_rl_m" 15.7527654165354 0.0141430051330198 "MGlcn3_rl_m"
"rmn_m" 0.732820759101041 0.0348178520336526 "rmn_m"
"gal1b3acgal_m" 2.18647076157875 0.0235237027199181 "gal1b3acgal_m"
"MGlcn12_m" 2.07955555766224 0.0339546008064358 "MGlcn12_m"
"MGlcn4_rl_m" 15.1678029158143 0.046496196573506 "MGlcn4_rl_m"
"T_antigen_m" 2.46657868077149 0.00768919074640841 "T_antigen_m"
"MGlcn68_m" 15.1678029158143 0.046496196573506 "MGlcn68_m"
"MGlcn78_m" 2.70096747764964 0.0361973931327436 "MGlcn78_m"
"MGlcn66_m" 15.1678029158143 0.046496196573506 "MGlcn66_m"
"MGlcn114_rl_m" 15.3901953371507 0.0311649678960177 "MGlcn114_rl_m"
"MGlcn186_rl_m" 15.1678029158143 0.046496196573506 "MGlcn186_rl_m"
"MGlcn187_rl_m" 15.3901953371507 0.0311649678960177 "MGlcn187_rl_m"
"MGlcn17_rl_m" 2.83847100139957 0.0246307280134275 "MGlcn17_rl_m"
"MGlcn194_rl_m" 2.83847100139957 0.0246307280134275 "MGlcn194_rl_m"
"MGlcn185_rl_m" 15.5828404150931 0.0209687010206257 "MGlcn185_rl_m"
"MGlcn13_rl_m" 2.70096747764964 0.0361973931327436 "MGlcn13_rl_m"
"MGlcn193_rl_m" 3.07947910090337 0.0113902167398558 "MGlcn193_rl_m"
