,ATE,CI2.5,CI97.5,pvalue,theta lower,theta upper,RV,rva,rmse ml_l,rmse ml_m
gln_L[e],-0.025633868109137842,-0.100666267581697,0.049398531363421316,0.5031148231297959,-0.11509116902769227,0.06382343280941659,0.029752839246297687,5.551876296401827e-06,0.8791887040996684,1.0354926810414165
fe3[e],0.10327492479992882,0.03304868189164682,0.17350116770821084,0.0039474739105753425,0.01830266580970831,0.18824718379014932,0.120170323553241,0.04815857309278699,0.8791887040996684,1.0818038808462878
ala_D[e],-0.005333064787143971,-0.07692718342741339,0.06626105385312545,0.883922782291545,-0.09191043765636464,0.0812443080820767,0.006473620791123504,4.8813294480064665e-06,0.8791887040996684,1.0704029240305795
acgam[e],-0.07672130544621943,-0.14144615774812175,-0.011996453144317118,0.020166570259202682,-0.16611609736625113,0.012673486473812279,0.086465928957413,0.026136241333112483,0.8791887040996684,1.0324730611413393
gsn[e],-0.022578967360291267,-0.10861185311862825,0.0634539183980457,0.6069833571263324,-0.104690729375776,0.05953279465519346,0.028568962559622428,5.105636756690072e-06,0.8791887040996684,1.128166278744235
akg[e],0.07965561400890522,0.0015278364942317157,0.15778339152357873,0.045684982032183935,-0.009565858505222943,0.1688770865230334,0.08978331488455026,0.0165929404768587,0.8791887040996684,1.03413397555425
k[e],0.10787000757784423,0.038397706956074404,0.17734230819961405,0.0023404060091464646,0.02302760367356764,0.19271241148212082,0.12533983661533998,0.05166175031175632,0.8791887040996684,1.0826355608480545
cgly[e],0.10876284844216605,0.03887201727703532,0.17865367960729678,0.0022879524668066205,0.023429545772769234,0.19409615111156286,0.12562986184532207,0.052298919013545955,0.8791887040996684,1.076360366547773
26dap_M[e],-0.03895790953815393,-0.10094931336563089,0.023033494289323025,0.21805340872476053,-0.1222015090192716,0.044285689942963745,0.04812993932264293,4.203892982222299e-06,0.8791887040996684,1.1119421390451987
mn2[e],0.11083015524503835,0.043381343661711314,0.1782789668283654,0.0012793929626017503,0.02551017034754846,0.19615014014252824,0.1278720666164812,0.05742004262392707,0.8791887040996684,1.076159230244048
thr_L[e],-0.09462098924601087,-0.16900925335862976,-0.020232725133391957,0.012665067795481561,-0.18067281838153332,-0.00856916011048843,0.10938430556782736,0.037457541540737674,0.8791887040996684,1.0698008969215125
lys_L[e],-0.060661946594747905,-0.13902107199813787,0.01769717880864207,0.12918796444968816,-0.15114266064415527,0.029818767454659466,0.06821770211858634,3.701343946629724e-06,0.8791887040996684,1.0216991159386792
ca2[e],0.09185823953313804,0.006727733697934793,0.1769887453683413,0.03444214204130579,0.006203246318893074,0.177513232747383,0.10683523080279866,0.020525297498161035,0.8791887040996684,1.0751049705438596
pydx[e],0.09591226765859796,0.026089409805626407,0.16573512551156952,0.007095952774892643,0.011885102355609772,0.17993943296158615,0.1132986139014937,0.043099050539892554,0.8791887040996684,1.095015121531331
amet[e],0.04469528508668532,-0.007580387382711849,0.09697095755608248,0.09378645596051817,-0.040912716862378025,0.13030328703574867,0.05354011192413888,0.000848891242584409,0.8791887040996684,1.0809106855580284
strch1[e],0.11197176229322905,0.04569996391863923,0.17824356066781888,0.0009278942781260032,0.0258014503175453,0.1981420742689128,0.12791148735564267,0.061717022330382135,0.8791887040996684,1.0655332208809212
spmd[e],-0.014717230122136101,-0.09998519503980946,0.07055073479553725,0.7351451789654786,-0.09528271645046384,0.06584825620619163,0.01907206818955541,5.439642315790076e-06,0.8791887040996684,1.1500886401605146
gthrd[e],0.026624298586067872,-0.07047700512460642,0.12372560229674215,0.5909883154745181,-0.06296597127875736,0.11621456845089312,0.03083921820455917,4.954890134796601e-06,0.8791887040996684,1.0339202056474779
mg2[e],0.11454328857802756,0.04920088483417384,0.17988569232188129,0.0005908974051400353,0.029133800252453573,0.19995277690360155,0.13172577301520635,0.06300933253198078,0.8791887040996684,1.0743802700819147
zn2[e],0.10979346658812073,0.051552942288511865,0.16803399088772958,0.00021999821445708027,0.025445967881787726,0.19414096529445374,0.1281183935034268,0.07005471547159857,0.8791887040996684,1.0885253633242225
pheme[e],0.10946324718867301,0.04457924347372169,0.17434725090362432,0.0009444303763772907,0.024755887000651233,0.19417060737669478,0.12725346111064087,0.058622624518879805,0.8791887040996684,1.0840455666876438
ribflv[e],0.018598469279479973,-0.062282822362979995,0.09947976092193994,0.6522135198017915,-0.06582958480267631,0.10302652336163626,0.022953228387849776,6.217888749180051e-06,0.8791887040996684,1.097379932449517
thm[e],-0.026889843194723123,-0.07898065488812292,0.025200968498676667,0.3116553483537151,-0.10887329997054776,0.055093613581101514,0.033981383455168664,6.592493629223483e-06,0.8791887040996684,1.1297314392933329
asp_L[e],0.015647171820154522,-0.05803153779601588,0.08932588143632492,0.6772357119244317,-0.07271276081861325,0.10400710445892228,0.018493980161669487,3.5206733528463866e-06,0.8791887040996684,1.0486482123116474
asn_L[e],-0.03789248189299048,-0.11306284596735525,0.03727788218137429,0.32315538399676413,-0.12837584096569765,0.05259087717971671,0.04317996375644171,6.041472730057451e-06,0.8791887040996684,1.02322090700168
sheme[e],0.10465872989416296,0.03251904756569769,0.1767984122226282,0.004462459151253923,0.01898982893733217,0.19032763085099375,0.12075037069560203,0.05007548096899239,0.8791887040996684,1.0729172724515483
ptrc[e],0.03949695915021557,-0.047849346143827194,0.12684326444425834,0.37547077148020336,-0.048060904679688314,0.12705482298011944,0.04643293688567917,5.099233879581842e-06,0.8791887040996684,1.0572441203175527
ocdca[e],-0.05572995918024087,-0.12431295009758807,0.012853031737106321,0.11123868962485414,-0.14375055174564233,0.0322906333851606,0.0645497463680061,6.422483633167452e-06,0.8791887040996684,1.0505373432845337
