,ATE,CI2.5,CI97.5,pvalue,theta lower,theta upper,RV,rva,rmse ml_l,rmse ml_m
gln_L[e],0.005620177101402121,-0.07182236091936296,0.08306271512216722,0.8868912728924496,-0.08429106253989649,0.09553141674270074,0.006568831702786719,4.919466576358105e-06,0.906136096453144,1.0623038706373822
fe3[e],0.12066971476954637,0.0504428326089066,0.19089659693018612,0.0007577757978111001,0.03244103361463346,0.20889839592445927,0.1341494684430402,0.06220308438250701,0.906136096453144,1.0715079740478828
ala_D[e],0.01268385004905159,-0.06385630897861012,0.08922400907671331,0.7453359488418871,-0.07699686301495753,0.10236456311306072,0.014798863397386855,4.951346905475139e-06,0.906136096453144,1.0649393282652682
acgam[e],-0.0648613310986013,-0.14303435628193295,0.013311694084730333,0.10390466951661176,-0.15849677462569312,0.028774112428490525,0.07040006414952833,5.5607410102594e-06,0.906136096453144,1.0173660974594116
gsn[e],-0.014862616289134966,-0.09075658689127046,0.06103135431300053,0.7011063078144055,-0.09893499727780393,0.06920976469953401,0.018462851908593585,4.980815293125251e-06,0.906136096453144,1.135908732194167
akg[e],0.04030042221195149,-0.04161026847507382,0.12221111289897679,0.3348900517766733,-0.05448884014199176,0.13508968456589474,0.043823013089105405,6.4990415057390685e-06,0.906136096453144,1.0066473241175633
k[e],0.11119502044535783,0.025190537989979847,0.1971995029007358,0.011275796775235441,0.02273758007653405,0.1996524608141816,0.12401501916643773,0.03852915055396413,0.906136096453144,1.0704302071683538
cgly[e],0.11425922375942052,0.03260661507702456,0.19591183244181648,0.006094688848038823,0.02559712974062965,0.20292131777821137,0.12692763847452568,0.04518198805419093,0.906136096453144,1.0674897723474157
26dap_M[e],-0.06819242649034805,-0.13220132823790326,-0.004183524742792863,0.036792038629433484,-0.15444244991529404,0.018057596934597936,0.07993999111384678,0.018547601293916752,0.906136096453144,1.1035955612262853
mn2[e],0.11493821209314777,0.039672971126028786,0.19020345306026676,0.002761789237400087,0.02673571358927959,0.20314071059701594,0.12825016599171957,0.052034279160082964,0.906136096453144,1.0728335328431917
thr_L[e],-0.033465308409274405,-0.11053938598468,0.043608769166131184,0.39476388103705307,-0.12418309352406294,0.05725247670551413,0.038136732336613306,5.949279804042349e-06,0.906136096453144,1.0520869931492205
lys_L[e],-0.0008804630426743217,-0.08192587299116573,0.08016494690581709,0.9830121645868447,-0.0938914715071766,0.09213054542182796,0.000995887876538949,4.791116874204427e-06,0.906136096453144,1.0269223524122724
ca2[e],0.10074262367761554,0.001804760731640695,0.1996804866235904,0.045964802638500814,0.01205297669652565,0.18943227065870544,0.11278133749864869,0.016960016241337934,0.906136096453144,1.0693214008665772
pydx[e],0.10835859792375933,0.030629534052158736,0.18608766179535993,0.006289426576338252,0.019899056244994717,0.19681813960252395,0.12105418489595031,0.045062240885404135,0.906136096453144,1.0708706142091502
