,ATE,CI2.5,CI97.5,pvalue,theta lower,theta upper,RV,rva,rmse ml_l,rmse ml_m
gln_L[e],0.03617377375784859,-0.04381046736477719,0.11615801488047436,0.37539351718984537,-0.05146062887535006,0.12380817639104724,0.04257498877331773,6.389574351682264e-06,0.8791887040996684,1.0565145937057592
fe3[e],0.10183610572479387,0.025047059335434635,0.1786251521141531,0.00934235540786205,0.016687252369425143,0.1869849590801626,0.11837127650098572,0.03898019520546148,0.8791887040996684,1.079836681194597
ala_D[e],0.009608301768750957,-0.06478237374659457,0.08399897728409647,0.8001530720244613,-0.07753432250513599,0.0967509260426379,0.011556357451616444,4.953666530851008e-06,0.8791887040996684,1.0634103435142512
acgam[e],-0.03738742532970118,-0.123437651704361,0.048662801044958647,0.3944514035036346,-0.12724295738277086,0.05246810672336851,0.042908211501572396,5.803929218287124e-06,0.8791887040996684,1.0303830778065768
gsn[e],0.0590240819507087,-0.015123630601644428,0.13317179450306182,0.11871321914988386,-0.022547587178158607,0.140595751079576,0.07341939387559372,4.580616322118617e-06,0.8791887040996684,1.132822586667676
akg[e],0.015340215179100662,-0.06001039003010689,0.09069082038830822,0.6898797312755733,-0.07434736145893814,0.10502779181713945,0.01786853061080998,3.6993027663859827e-06,0.8791887040996684,1.033137159086018
k[e],0.10390578617174215,0.03260784265155309,0.1752037296919312,0.00428547786704336,0.018447903492328235,0.18936366885115608,0.12021433067600885,0.0474487981425549,0.8791887040996684,1.0756496158552173
cgly[e],0.10913811433166987,0.04155248018518724,0.17672374847815248,0.00155096820863745,0.024107766838369266,0.19416846182497047,0.12645075237339068,0.05736616454112149,0.8791887040996684,1.0800603377551674
26dap_M[e],0.0665949858075309,-0.008450636386426666,0.14164060800148848,0.0819892158209447,-0.018429999541937858,0.15161997115699966,0.07922300464650696,0.0042571457390995935,0.8791887040996684,1.086273448747928
mn2[e],0.10625318396201815,0.04622675502268387,0.16627961290135243,0.0005217282827917812,0.022487991047058356,0.19001837687697792,0.1250678966629418,0.06483375392471462,0.8791887040996684,1.0966029993911997
thr_L[e],-0.06565469710772728,-0.15237636925030604,0.02106697503485147,0.13785211991253918,-0.15444055164452092,0.023131157429066365,0.07496861716161612,4.438040658479862e-06,0.8791887040996684,1.040642887701306
lys_L[e],0.0015693246446154678,-0.08002458565557112,0.08316323494480206,0.9699295205822656,-0.08885631110185328,0.09199496039108422,0.0018261985547408592,5.07377296461552e-06,0.8791887040996684,1.024869449529921
ca2[e],0.10780898456467435,0.03083743027033506,0.18478053885901363,0.006047542840482882,0.021193441686290088,0.1944245274430586,0.1228766251800186,0.04533073705367298,0.8791887040996684,1.0608620164331932
pydx[e],0.10541704652779145,0.026966003259001003,0.1838680897965819,0.008446926582289738,0.02068164087075494,0.19015245218482796,0.12282026826259641,0.043710309754140975,0.8791887040996684,1.0844097778562967
amet[e],0.06723440477268423,0.02232134351944979,0.11214746602591869,0.003345740392899873,-0.015799173887290477,0.15026798343265896,0.08178777543932338,0.03775579429813598,0.8791887040996684,1.112066844417665
strch1[e],0.09932216641924894,0.023046512516530518,0.17559782032196736,0.010705655212771404,0.01546263158338819,0.18318170125510969,0.11729568201938803,0.040383806421647656,0.8791887040996684,1.0966043495952105
spmd[e],0.08555888130703708,0.018723867123262447,0.15239389549081173,0.012105668842125975,0.0011352951996632527,0.16998246741441092,0.10127455344501765,0.04005813274548849,0.8791887040996684,1.091523291343803
gthrd[e],0.054377119619284514,-0.03176450377334307,0.14051874301191208,0.2160008653803892,-0.03574975612131667,0.1445039953598857,0.06160757303106067,6.578728297686e-06,0.8791887040996684,1.0261952843240525
mg2[e],0.10814120736800865,0.03947833282487899,0.17680408191113833,0.002022809511228806,0.022700730477919692,0.19358168425809763,0.12481223873881465,0.05380001726846188,0.8791887040996684,1.075142482619636
zn2[e],0.10771461416331288,0.044112301167741036,0.17131692715888472,0.0009023525758603993,0.023186602658763586,0.19224262566786215,0.1256060697781386,0.05969387947944067,0.8791887040996684,1.086618664895113
pheme[e],0.09679621341743787,0.02030866100279237,0.17328376583208338,0.013124774069798097,0.012231584229525652,0.18136084260535007,0.11359693996989731,0.03486374734638557,0.8791887040996684,1.0880120165034741
ribflv[e],0.09775693708746369,0.026973898449505387,0.168539975725422,0.006792202742852725,0.011923818700317237,0.18359005547461016,0.11306302115690255,0.04727035033015827,0.8791887040996684,1.0720094960749271
thm[e],0.09609389137746129,0.02354888574699393,0.16863889700792864,0.009426412005281761,0.01045093965687971,0.18173684309804286,0.11148548050861348,0.04092649315546418,0.8791887040996684,1.0746146080806387
asp_L[e],-0.024314491906814287,-0.0990487920732835,0.05041980825965493,0.5236910686022126,-0.11344244342714738,0.06481345961351881,0.028346339132544838,5.5449233985801765e-06,0.8791887040996684,1.0393634300194083
asn_L[e],-0.0006478766332170421,-0.08276299815971655,0.08146724489328247,0.98766213480863,-0.0891240357358357,0.08782828246940162,0.0007701451017737085,4.78781661412552e-06,0.8791887040996684,1.0474527820201207
sheme[e],0.10108569675243692,0.030417601928754576,0.17175379157611925,0.0050537211721102294,0.014939305430125352,0.1872320880747485,0.1162764289028907,0.04406385355235459,0.8791887040996684,1.0676447737854355
ptrc[e],0.0738421207201508,-0.011014686300124935,0.15869892774042654,0.08809108312406766,-0.01580717951366835,0.16349142095396996,0.08313592964338919,0.0030998068487110056,0.8791887040996684,1.029871794452989
ocdca[e],0.018617823634653155,-0.06526791572523993,0.10250356299454624,0.663562711488165,-0.07114113655571354,0.10837678382501985,0.021627229285729774,6.6591407623459526e-06,0.8791887040996684,1.0322365977316008
ile_L[e],-0.03539432465588335,-0.11347081069254623,0.04268216138077953,0.37426742276803215,-0.12506844328021927,0.054279793968452575,0.04074892639248937,6.469291699234378e-06,0.8791887040996684,1.0325668467324598
so4[e],0.1233183242563576,0.059781447513279296,0.1868552009994359,0.0001423311656059538,0.03607239719732963,0.21056425131538556,0.1383052091413413,0.07511604838389078,0.8791887040996684,1.0506258372156145
lanost[e],0.08132863508825731,0.04367286365818191,0.11898440651833272,2.3047698847030678e-05,-0.002260330685010456,0.16491760086152507,0.09743301428033087,0.054362998683317704,0.8791887040996684,1.1029092939500835
ser_L[e],-0.01692164637819522,-0.09296003053101334,0.059116737774622896,0.6627119092739915,-0.10489703659437485,0.0710537438379844,0.020071455184735878,4.6713235993182635e-06,0.8791887040996684,1.0531989021731833
12dgr180[e],0.0868390736441124,0.01843344991451476,0.15524469737371005,0.012842009645324547,0.0027146885074763455,0.17096345878074848,0.1030531673343408,0.029685819686595394,0.8791887040996684,1.0951738482699838
leu_L[e],0.03783816770598281,-0.05069951227740443,0.12637584768937005,0.40224089228385973,-0.053177160046948536,0.12885349545891417,0.042872938090742545,6.109732048921693e-06,0.8791887040996684,1.0172546899895547
pnto_R[e],0.1173623991463966,0.06144596600908609,0.1732788322837071,3.892875871676538e-05,0.03183592168269224,0.20288887661010097,0.1345628540263003,0.0773007934393353,0.8791887040996684,1.0724174318812216
thymd[e],0.02003650440575374,-0.07295441297794189,0.11302742178944936,0.6728000730780528,-0.0717276985653986,0.11180070737690606,0.022753420440655002,4.863136409433744e-06,0.8791887040996684,1.0096539507894662
cu2[e],0.11157517485321145,0.04886339419791927,0.17428695550850362,0.0004882574765049309,0.02714579759544028,0.1960045521109826,0.12993563916686737,0.06661717953258714,0.8791887040996684,1.087161231736674
cytd[e],0.027625747150574306,-0.0618305521141235,0.11708204641527212,0.5449977160767749,-0.05938200613050881,0.11463350043165743,0.03291361274744341,5.458324665653573e-06,0.8791887040996684,1.0645346272289689
pro_L[e],-0.04081111111794525,-0.12511074395304597,0.043488521717155476,0.34269327906059255,-0.13068287641765225,0.04906065418176177,0.046735177406537924,6.004457437228132e-06,0.8791887040996684,1.0300080249550314
val_L[e],0.02571141845366102,-0.05778679345146358,0.10920963035878563,0.5461579298227719,-0.06292519659294103,0.11434803350026308,0.030113548335821243,5.164189720505892e-06,0.8791887040996684,1.045068500749206
gua[e],-0.018836150534636678,-0.10200231254185875,0.0643300114725854,0.6571086482192967,-0.10825586575049675,0.0705835646812234,0.02196009703806791,4.9805727344502656e-06,0.8791887040996684,1.0361449825408375
