,ATE,CI2.5,CI97.5,pvalue,theta lower,theta upper,RV,rva,rmse ml_l,rmse ml_m
gln_L[e],0.05172311197465374,-0.029471064112801114,0.1329172880621086,0.2118276901984366,-0.0386660686418804,0.14211229259118788,0.05852649196881845,4.960484276411217e-06,0.906136096453144,1.0547927163506885
fe3[e],0.10859843560265903,0.027039628206688635,0.1901572429986294,0.009060540918186626,0.020121496611227738,0.1970753745940903,0.12128250193587535,0.040144323157063275,0.906136096453144,1.0706246123903282
ala_D[e],0.036752896244775304,-0.04198369807368542,0.11548949056323603,0.3602558472049906,-0.05373859975404198,0.12724439224359257,0.04190551017584356,6.163404325312767e-06,0.906136096453144,1.0545490287861867
acgam[e],-0.04361650563838448,-0.13860195707531164,0.05136894579854268,0.3681209572473505,-0.13682103471599727,0.04958802343922832,0.048126595028003295,5.795990254274015e-06,0.906136096453144,1.0235461523165132
gsn[e],0.05783660861842374,-0.018025535125220288,0.13369875236206777,0.13510800984435153,-0.027979111026984624,0.14365232826383212,0.06856336826132892,4.632097750335242e-06,0.906136096453144,1.1102279373082908
akg[e],-0.04711368650108005,-0.12455890362354924,0.03033153062138915,0.23312745758950704,-0.14030539275429602,0.04607801975213593,0.05188960092458341,3.543391616358689e-06,0.906136096453144,1.0234794309188973
k[e],0.11015434259476814,0.025378856733030128,0.19492982845650614,0.010874388313111612,0.022145312110841156,0.19816337307869514,0.12351676838262317,0.039504315554521864,0.906136096453144,1.0759639734245026
cgly[e],0.1175659017305317,0.050089117936327435,0.18504268552473596,0.0006381076355948174,0.029111169928199426,0.20602063353286398,0.13062954647146957,0.062427846372298784,0.906136096453144,1.0693754508293516
26dap_M[e],0.07149783363494519,0.007796696821687515,0.13519897044820287,0.027817279477720315,-0.016339965191258174,0.15933563246114857,0.08219867596604406,0.02284432443453248,0.906136096453144,1.0834228894654534
mn2[e],0.11913403392709376,0.05229109002769053,0.185976977826497,0.00047719821142192995,0.0314607194823968,0.2068073483717907,0.1333432126805225,0.06596936627069454,0.906136096453144,1.078437114335165
thr_L[e],-0.007481804591558943,-0.09228897715145926,0.07732536796834136,0.86272162126801,-0.09932218947634816,0.08435858029323026,0.008551879234426579,4.803789001991416e-06,0.906136096453144,1.0399739704604445
lys_L[e],0.029217202333667605,-0.05291483013732039,0.1113492348046556,0.48566079238710214,-0.06276785911535353,0.12120226378268874,0.032925928437966774,6.10668402044559e-06,0.906136096453144,1.0377950405204492
ca2[e],0.10852326866003874,0.030538913612754043,0.18650762370732343,0.0063817821091166314,0.020219179114772445,0.19682735820530503,0.12142588031339302,0.044061776157455226,0.906136096453144,1.0726979537541792
pydx[e],0.109019315089958,0.045649966380110416,0.1723886637998056,0.0007465657712086469,0.020571860648192386,0.19746676953172362,0.12176001015306123,0.059278198107857075,0.906136096453144,1.070907126789823
amet[e],0.06884335215266452,0.007788075453445793,0.12989862885188325,0.027107061456944248,-0.018755923914510475,0.1564426282198395,0.07947988696417527,0.022019670450120814,0.906136096453144,1.086642239273728
strch1[e],0.11831770925197796,0.06696454128854024,0.16967087721541568,6.309085629745981e-06,0.031322537281514795,0.20531288122244112,0.1334533575230042,0.07998732015417592,0.906136096453144,1.0868242733510383
spmd[e],0.09104455972728169,0.024669247583153656,0.1574198718714097,0.0071793169363995185,0.004240177439471485,0.17784894201509188,0.10461667821960903,0.044749964628001196,0.906136096453144,1.0936853592622646
gthrd[e],0.058537737902786956,-0.024542746513921486,0.1416182223194954,0.16728743938954282,-0.03386571811831358,0.1509411939238875,0.06458470881171097,3.462033765563173e-06,0.906136096453144,1.0313778972837646
mg2[e],0.11434786754721733,0.042956484956495525,0.18573925013793913,0.001693622171701515,0.026282320161484074,0.2024134149329506,0.12782128583660868,0.05531338362358944,0.906136096453144,1.07457319601568
zn2[e],0.12023887949771893,0.054439144153925964,0.1860386148415119,0.0003415849782006546,0.03260061785713239,0.20787714113830547,0.1345406528235597,0.06631921370601185,0.906136096453144,1.0786576043127067
pheme[e],0.10671490994241586,0.00972882817821312,0.2037009917066186,0.03103909910049887,0.017903682554322578,0.19552613733050916,0.11889189077873313,0.02472643763649625,0.906136096453144,1.0669605642260567
ribflv[e],0.12501677957077575,0.06101279417277704,0.18902076496877446,0.00012901563190636392,0.034858962055804216,0.2151745970857473,0.13587290882273567,0.0799805328508702,0.906136096453144,1.0482828083917208
thm[e],0.09805727949774634,0.026536740141280643,0.16957781885421203,0.007205758716092849,0.009732048918433309,0.18638251007705936,0.11037739710855797,0.04372102956817833,0.906136096453144,1.0740731047435377
asp_L[e],0.012701116594575719,-0.06428623980309005,0.08968847299224149,0.7464314760625395,-0.07814039426508898,0.10354262745424042,0.01463091522094981,4.966530913531726e-06,0.906136096453144,1.0513338968074692
asn_L[e],0.04198912360151967,-0.04641232685552754,0.13039057405856688,0.3518803667931172,-0.0514950567994613,0.13547330400250063,0.04623817915424658,6.580881278468083e-06,0.906136096453144,1.020581854997169
sheme[e],0.11497524362162514,0.04650587457764578,0.18344461266560452,0.0009975604309988828,0.026666803408117307,0.20328368383513298,0.12814528313240361,0.05696469530936683,0.906136096453144,1.0715638907866987
ptrc[e],0.06659571830133093,-0.015890104325102766,0.14908154092776463,0.11355927028004736,-0.025487770733451542,0.1586792073361134,0.07338275816397874,4.899420721934252e-06,0.906136096453144,1.0342656865369122
ocdca[e],0.046649960111484035,-0.035496274807233524,0.1287961950302016,0.26569022389470254,-0.04751447579717741,0.14081439602014548,0.05087532622273695,3.699502089114794e-06,0.906136096453144,1.0129637670019305
ile_L[e],0.003586558653810124,-0.07768528716107882,0.08485840446869906,0.9310737376529843,-0.08885455248006263,0.09602766978768287,0.004079723343397789,4.938349615763358e-06,0.906136096453144,1.0332451787403143
so4[e],0.12296679433757542,0.05078777586919703,0.1951458128059538,0.0008406066634567062,0.03469460175600546,0.2112389869191454,0.13645388356816973,0.0643268796159365,0.906136096453144,1.0705721372895545
lanost[e],0.10213816850110571,0.04791722730389102,0.1563591096983204,0.00022244232854985908,0.013767806056093665,0.19050853094611775,0.11463662044347146,0.05432306336869815,0.906136096453144,1.072916983022526
ser_L[e],0.026342288118606956,-0.055065985436196264,0.10775056167341018,0.5259438238718916,-0.06658442864976133,0.11926900488697526,0.029438356965767676,5.546957557080739e-06,0.906136096453144,1.0273958039522861
12dgr180[e],0.0994499725846103,0.0020699619485379933,0.19682998322068262,0.04532496681846868,0.010678258756477904,0.1882216864127427,0.11132277453365652,0.0166079237650079,0.906136096453144,1.0685390032196116
leu_L[e],0.04173510972683317,-0.04168172854074757,0.12515194799441393,0.32678553763651164,-0.05147701179117764,0.13494723124484398,0.04609603763517559,6.355291136432941e-06,0.906136096453144,1.0235678309270457
pnto_R[e],0.12879650669780687,0.08553788486674263,0.17205512852887112,5.362334921975502e-09,0.04040469525456468,0.21718831814104905,0.14224998733536168,0.08920192989571854,0.906136096453144,1.068063239435607
thymd[e],-0.02486492268120183,-0.1136432771870377,0.06391343182463405,0.5830438201888846,-0.1181476849518663,0.06841783958946264,0.02770607476172749,4.913190025799417e-06,0.906136096453144,1.023527268755774
cu2[e],0.11911657979237335,0.0610588194715744,0.1771743401131723,5.789250638859796e-05,0.03167694091082547,0.2065562186739212,0.13365586719133432,0.07470182014716889,0.906136096453144,1.0812641867369204
cytd[e],0.06327685752737756,-0.026030133737294958,0.1525838487920501,0.1649248695047727,-0.02741253902363179,0.15396625407838693,0.07089257652113702,5.298122471111702e-06,0.906136096453144,1.0503746540653007
pro_L[e],-0.018543506771237016,-0.10513254425421034,0.0680455307117363,0.6746777393479557,-0.11107865738592143,0.07399164384344739,0.020902435674968207,4.887207819720007e-06,0.906136096453144,1.0319735616166181
val_L[e],0.031208729222201265,-0.0597202867226901,0.12213774516709262,0.5011379139052984,-0.0581857496286602,0.12060320807306273,0.036129338164969535,4.508969393994267e-06,0.906136096453144,1.0677451660869612
gua[e],-0.011952842636699296,-0.0954635141171564,0.0715578288437578,0.7790719006868156,-0.10510194249765702,0.08119625722425843,0.01343613718241188,4.907916917219566e-06,0.906136096453144,1.0253066863042244
glyc3p[e],0.10364448559391884,0.024506531439378948,0.18278243974845873,0.010261128578759679,0.011785879601100335,0.19550309158673734,0.11207196324871682,0.042768214933834835,0.906136096453144,1.0325289769165928
tyr_L[e],0.122499985988278,0.06710170162156132,0.1778982703549947,1.4643142757415346e-05,0.03520728423776476,0.20979268773879126,0.1373869231031811,0.078736229256389,0.906136096453144,1.0824155157850013
fol[e],0.1173607779198347,0.05030005451754846,0.18442150132212093,0.0006034281291931875,0.028790825870962045,0.20593072996870734,0.13025968064936472,0.06314926547128727,0.906136096453144,1.0680467842247807
dad_2[e],0.013564123933312388,-0.06091844681841762,0.08804669468504239,0.7211428993910973,-0.07879350058845767,0.10592174845508244,0.015362752817119503,3.5161825407153105e-06,0.906136096453144,1.0340639242082117
h[e],-0.05782941670235353,-0.13469562159079235,0.01903678818608527,0.14033177537044003,-0.15257033551833377,0.03691150211362672,0.06230486603316431,5.2299248041965865e-06,0.906136096453144,1.00609152904914
q8[e],0.1204604174181842,0.052774163796501475,0.18814667103986693,0.00048642152203169355,0.032584724697598946,0.20833611013876946,0.13443273450727666,0.062107679499235416,0.906136096453144,1.0757622245230933
nmn[e],0.11768211305774091,0.05316710212397242,0.1821971239915094,0.0003499885446869835,0.02985303658341018,0.20551118953207165,0.1316154713397914,0.06675087246296117,0.906136096453144,1.0768242351716608
csn[e],0.08988035089381474,0.01493442786509129,0.16482627392253818,0.01874695838827558,0.0001355172215557615,0.17962518456607374,0.10014464353024219,0.03233247345977304,0.906136096453144,1.05841519490246
cobalt2[e],0.11516012871372701,0.03445399706795564,0.1958662603594984,0.005162969085282047,0.026477284941631943,0.20384297248582206,0.1278323925308409,0.047086467304569266,0.906136096453144,1.0670915635937144
arg_L[e],0.003266009011439132,-0.09252614273487755,0.09905816075775581,0.9467214405017539,-0.091925365895314,0.09845738391819225,0.003608453434942179,4.901762164890781e-06,0.906136096453144,1.003394547131838
gly[e],-0.017752468091509835,-0.10036726996984192,0.06486233378682225,0.6736369416124859,-0.10976849916178859,0.07426356297876892,0.020131644010537502,4.387776502117953e-06,0.906136096453144,1.0378124890593874
ala_L[e],0.06512335333231382,-0.013718394838876949,0.1439651015035046,0.10546190018901833,-0.02751073025035375,0.1577574369149814,0.0714097301514201,6.03130647274049e-06,0.906136096453144,1.0282818483575225
his_L[e],-0.014984941353258702,-0.09983487088446641,0.069864988177949,0.7292375855144222,-0.10666622479626457,0.07669634208974717,0.01708204392222411,4.88187405373245e-06,0.906136096453144,1.0416625390123306
trp_L[e],0.07841343261142117,-0.0019112208732708774,0.15873808609611323,0.055705923697166,-0.012460146119616017,0.16928701134245835,0.08691350769585883,0.01343533358321017,0.906136096453144,1.04675603994896
phe_L[e],0.03786316618068336,-0.04864578108712797,0.12437211344849469,0.39098332956219184,-0.05302239098293944,0.12874872334430615,0.04296055055750673,3.8026080787471403e-06,0.906136096453144,1.04992663839525
cl[e],0.12359289354940409,0.0670847679704026,0.1801010191284056,1.8128574316335168e-05,0.03631349435445297,0.2108722927443552,0.13854103268028467,0.07716577227000526,0.906136096453144,1.082369218650844
ura[e],-0.0029994830807017446,-0.08469182066115948,0.07869285449975598,0.9426308357102102,-0.09667966933792384,0.09068070317652034,0.0033677550812209766,4.828667172999815e-06,0.906136096453144,1.0195815250368594
mqn8[e],-0.017912106819442736,-0.11079900629425417,0.0749747926553687,0.7054638941769724,-0.1114029030915908,0.07557868945270534,0.019993675421036104,4.781450426737439e-06,0.906136096453144,1.021444489047807
pi[e],-0.01733298546188953,-0.10025104717431288,0.06558507625053384,0.6820216294150632,-0.11052894070648084,0.0758629697827018,0.019414249084396845,4.97784591394244e-06,0.906136096453144,1.0246880488550998
4hbz[e],0.043275587683754065,-0.038332600773167004,0.12488377614067514,0.29864698728447536,-0.04641667423964526,0.13296784960715338,0.049582301060463935,5.999530636490023e-06,0.906136096453144,1.0635459216939185
ncam[e],0.021745298477675156,-0.055199407952717244,0.09869000490806756,0.5796443590946956,-0.07054640118477172,0.11403699814012204,0.024530325565792894,4.2167789496066075e-06,0.906136096453144,1.0346075216520987
fe2[e],0.10973198312605238,0.01808125810783047,0.20138270814427428,0.018943837809614682,0.02040172974477332,0.19906223650733146,0.12137165759413418,0.03174342844658945,0.906136096453144,1.060383899037303
fru[e],-0.07659206646631764,-0.1539886576301323,0.0008045246974970471,0.05242947817776613,-0.16924338262913174,0.01605924969649647,0.08342481626075439,0.013079084610009669,0.906136096453144,1.027017823133113
hxan[e],-0.05196980746706007,-0.13488479112691917,0.030945176192799025,0.2192688607614527,-0.1454780865360293,0.04153847160190916,0.05689339488369933,6.545703879028629e-06,0.906136096453144,1.0197133795552484
ac[e],0.0032359524908917893,-0.08639847978034984,0.09287038476213341,0.9435903841899466,-0.0900231845436164,0.09649508952539997,0.003649262020878187,4.770123567812219e-06,0.906136096453144,1.0241837456761544
glc_D[e],-0.014845292066303748,-0.08982957299352613,0.06013898886091863,0.6979929716169527,-0.1058486149991155,0.076158030866508,0.017049211820294157,3.852584313378031e-06,0.906136096453144,1.0494233650651548
for[e],0.0033595533030856485,-0.08033160224686574,0.08705070885303705,0.9372892128411648,-0.08830805728773679,0.0950271638939081,0.0038541097061688843,4.801264748598843e-06,0.906136096453144,1.0419647443145308
met_L[e],-0.018897509799682882,-0.10089256693464037,0.0630975473352746,0.6514739472222828,-0.1157122346117794,0.07791721501241364,0.020365492199728313,3.4940584237458826e-06,0.906136096453144,0.9863677279734715
