,ATE,CI2.5,CI97.5,pvalue,theta lower,theta upper,RV,rva,rmse ml_l,rmse ml_m
gln_L[e],-0.0664027262510767,-0.145405826969027,0.01260037446687362,0.09948302169805294,-0.1543981763839393,0.021592723881785902,0.07644283392403424,0.0001232757537124933,0.8791887040996684,1.049859132447504
fe3[e],-0.023671183637212302,-0.10733207005995063,0.05998970278552603,0.5791982212190084,-0.11150738217886261,0.06416501490443802,0.028007105682849802,5.202234442017839e-06,0.8791887040996684,1.0546592240667085
ala_D[e],-0.021455879970946952,-0.10230508643796157,0.059393326496067676,0.6029673304229806,-0.10775593108150702,0.06484417113961313,0.02586644632145393,4.081109316265892e-06,0.8791887040996684,1.073496683837029
acgam[e],0.021397269572585864,-0.06214828835531108,0.10494282750048281,0.6156842959959867,-0.06857694239620919,0.11137148154138092,0.024756557975401005,4.963230933810049e-06,0.8791887040996684,1.0296897276879597
gsn[e],-0.05518570091103228,-0.12892526340746982,0.018553861585405257,0.1424275324428449,-0.1423859517046866,0.03201454988262205,0.06452164869038615,5.561354261433524e-06,0.8791887040996684,1.0604224555551964
akg[e],-0.0019417103275020887,-0.08325698588436091,0.07937356522935672,0.9626713801849378,-0.0921676564480774,0.0882842357930732,0.0022643733974982935,4.80494785730433e-06,0.8791887040996684,1.027136784249141
k[e],-0.0315273050909183,-0.11683902994085935,0.05378441975902274,0.4688736614126595,-0.12110148356946657,0.058046873387629976,0.036419429919009254,5.890282602202076e-06,0.8791887040996684,1.0339018699695242
cgly[e],-0.0370579782623025,-0.1200912534594453,0.045975296934840294,0.38171686128468973,-0.12671495533494176,0.05259899881033677,0.04263049546800171,3.485123156134729e-06,0.8791887040996684,1.0326780467270926
26dap_M[e],-0.03178534612313443,-0.11520818491006685,0.05163749266379799,0.4551990760712066,-0.12086660409198413,0.05729591184571526,0.03691124234341801,4.183000671039291e-06,0.8791887040996684,1.039603039428529
mn2[e],-0.03245334374145963,-0.11741612296597259,0.052509435483053334,0.45406818559302586,-0.121812384511017,0.05690569702809773,0.03755718718934026,6.043842827906534e-06,0.8791887040996684,1.0363449618709801
thr_L[e],-0.018469299638330577,-0.10462331880845714,0.06768471953179599,0.6743627282076198,-0.10473781434644848,0.06779921506978732,0.02231486107961786,5.525351600590125e-06,0.8791887040996684,1.0739843779214067
lys_L[e],-0.039738391744069936,-0.12201192224248911,0.04253513875434923,0.3438073739663807,-0.1277431386405444,0.04826635515240454,0.04647843204799014,6.514962917542051e-06,0.8791887040996684,1.0518731123283973
ca2[e],-0.032684821072321124,-0.1176187772702729,0.05224913512563065,0.45070169459128684,-0.12206835701312456,0.05669871486848231,0.0378097322443487,6.059691098030282e-06,0.8791887040996684,1.036050524717913
pydx[e],-0.03872077700724378,-0.12045006561979504,0.04300851160530748,0.3531122107412511,-0.1266638484828437,0.04922229446835615,0.04534688922713763,4.1476721869421935e-06,0.8791887040996684,1.0526693711700768
amet[e],-0.026088096820425163,-0.09905510797715633,0.046878914336306005,0.48345821568358394,-0.11464652850331938,0.06247033486246906,0.030574404969378764,5.774710828853116e-06,0.8791887040996684,1.0459758276289048
strch1[e],-0.025137050806864555,-0.1028688651799361,0.05259476356620699,0.5262005188150227,-0.11511532617948347,0.06484122456575436,0.029018276125597868,4.7940268044482486e-06,0.8791887040996684,1.0295203969893367
spmd[e],-0.026643958789742697,-0.11363482826067399,0.060346910681188595,0.5483018707965492,-0.11697484583060114,0.06368692825111574,0.030612545372203797,4.951872927317987e-06,0.8791887040996684,1.0254506377714974
gthrd[e],-0.0057847070103789035,-0.09527359593951612,0.08370418191875831,0.8991816033142674,-0.09594831645099304,0.08437890243023523,0.006741572061473349,4.781592855318004e-06,0.8791887040996684,1.0278260594095523
mg2[e],-0.033538908976213866,-0.11813108327801602,0.05105326532558829,0.43711040914622923,-0.12275420594844286,0.055676387996015125,0.03884985258145785,6.199707053630736e-06,0.8791887040996684,1.0379604488878005
zn2[e],-0.02695870708435411,-0.11245721522296374,0.05853980105425553,0.5365752081230339,-0.11650709068981863,0.06258967652111042,0.031234778681182934,5.4480250382880485e-06,0.8791887040996684,1.034390519047161
pheme[e],-0.026162012431239574,-0.11157178403246265,0.05924775916998351,0.5482664048430793,-0.1163622571515233,0.06403823228904416,0.03011017281188479,4.7698893720531164e-06,0.8791887040996684,1.0269522497935595
ribflv[e],-0.044271868823517704,-0.12770938357531264,0.039165645928277246,0.298360764622315,-0.13382799243290402,0.045284254785868616,0.05076912977121389,3.5525695804598413e-06,0.8791887040996684,1.0334196862046512
thm[e],-0.02688364066290966,-0.11374249813268614,0.05997521680686682,0.5440981771181568,-0.11774036860840041,0.0639730872825811,0.03070765012845064,4.986118969132398e-06,0.8791887040996684,1.0195126441753175
asp_L[e],-0.00584095975353096,-0.08407464641164386,0.07239272690458193,0.8836595181372411,-0.09357128678020837,0.08188936727314647,0.006994967233916962,4.8975306467265574e-06,0.8791887040996684,1.0563319163157725
asn_L[e],-0.03434237408117874,-0.11286987411016135,0.04418512594780387,0.39136220451260995,-0.12243473757057202,0.053749989408214544,0.04025807039163709,5.583635142598687e-06,0.8791887040996684,1.051129451399059
sheme[e],-0.019062008475098435,-0.10565556952250212,0.06753155257230524,0.6661407125223242,-0.10986881688193922,0.07174479993174235,0.021884794009976782,5.042607398547942e-06,0.8791887040996684,1.020319389487117
ptrc[e],-0.004785594405155241,-0.0903972351426882,0.08082604633237771,0.9127585080558668,-0.09529228117527132,0.08572109236496082,0.005559694569380578,4.965183364240708e-06,0.8791887040996684,1.0239374623578512
ocdca[e],-0.009774033263829486,-0.09437588923415,0.07482782270649102,0.8208637344614482,-0.10099396146431015,0.08144589493665118,0.011232134410356216,5.108189897863481e-06,0.8791887040996684,1.0158823631593332
ile_L[e],-0.03611783060954206,-0.11844464579672713,0.04620898457764301,0.38986547100208857,-0.12519070829153203,0.052955047072447914,0.04183874568816547,6.6321516638922335e-06,0.8791887040996684,1.0394869027177007
so4[e],-0.03499192100832956,-0.11917197250016134,0.04918813048350223,0.41523441592831833,-0.12475500662163425,0.05477116460497513,0.040256069395377,6.308229277435817e-06,0.8791887040996684,1.0315653143603631
lanost[e],-0.0584210405147284,-0.14455812380156446,0.027716042772107673,0.1837447624962243,-0.15274505109412137,0.03590297006466458,0.06319060278991706,5.937463817140033e-06,0.8791887040996684,0.9804263859031601
ser_L[e],-0.02260552132109181,-0.10272207626874558,0.05751103362656196,0.5802501388873571,-0.11063665415958482,0.0654256115174012,0.026704958157337717,5.885951530437641e-06,0.8791887040996684,1.0523628614740925
12dgr180[e],-0.020779972481069196,-0.10473340123247457,0.06317345627033619,0.627586914287782,-0.1084493319792342,0.06688938701709582,0.024675458986552386,5.533011635874581e-06,0.8791887040996684,1.0567627624036575
leu_L[e],-0.03995588699382879,-0.12209811659427315,0.042186342606615565,0.3404016367770438,-0.1289506272559771,0.04903885326831954,0.04621923900483618,6.103461176910991e-06,0.8791887040996684,1.0401852798401858
pnto_R[e],-0.01965003580367531,-0.10260205284003121,0.0633019812326806,0.6424436968218519,-0.10815219073654234,0.06885211912919173,0.02313251042286872,5.643912755637818e-06,0.8791887040996684,1.0468587592569214
thymd[e],-0.04324454325414866,-0.12345763163702744,0.03696854512873013,0.2906680084431732,-0.13101334372241988,0.044524257214122565,0.05060527732777493,4.372435839694566e-06,0.8791887040996684,1.0544736822988723
cu2[e],-0.03322049501068942,-0.1180942709708237,0.05165328094944486,0.44299194081299,-0.12243635981178089,0.05599536979040206,0.03848802640867566,6.0928932454084805e-06,0.8791887040996684,1.0379692293589031
cytd[e],-0.034458336523332266,-0.11734804425729381,0.048431371210629286,0.4151967143756633,-0.12260643667281804,0.0536897636261535,0.040366189528807224,3.546676371163247e-06,0.8791887040996684,1.0504599521240507
pro_L[e],-0.0027355430216557406,-0.08686431611083997,0.0813932300675285,0.9491848467526622,-0.089915755564386,0.08444466952107452,0.003300490309162042,5.247697270308172e-06,0.8791887040996684,1.0630178223080418
val_L[e],-0.035395655435267785,-0.11680793258370184,0.04601662171316628,0.39413944705698845,-0.123313170467855,0.05252185959731944,0.0415473334274565,4.482772348817367e-06,0.8791887040996684,1.0531608745437337
gua[e],0.002682126279026866,-0.08319424374006998,0.0885584962981237,0.95118845758104,-0.08677702601715102,0.09214127857520475,0.003153775296426028,4.803655057242671e-06,0.8791887040996684,1.035938318463764
glyc3p[e],0.01104416190545448,-0.07808330046315765,0.10017162427406662,0.8081080812952307,-0.07643125082288199,0.09851957463379096,0.013221382850384598,4.815238719253761e-06,0.8791887040996684,1.059342480930269
tyr_L[e],-0.03746503243453682,-0.1195121084858764,0.04458204361680276,0.37080024137020473,-0.12575487970480903,0.05082481483573541,0.04374071122022749,4.037085607068288e-06,0.8791887040996684,1.0486149875288724
fol[e],-0.03338788701087072,-0.11817242339097206,0.051396649369230614,0.4402164669286813,-0.12242129157960838,0.055645517557866946,0.038755826228378,3.717351312850069e-06,0.8791887040996684,1.0400849902900506
