,ATE,CI2.5,CI97.5,pvalue,theta lower,theta upper,RV,rva,rmse ml_l,rmse ml_m
gln_L[e],-0.02141799751087674,-0.10705943110668022,0.06422343608492674,0.624016563467954,-0.11149684882850078,0.0686608538067473,0.02475181451355573,3.460094651126188e-06,0.906136096453144,1.0600173575779883
fe3[e],0.005577139756826107,-0.08171325370408956,0.09286753321774179,0.9003449403318992,-0.08562987513318103,0.09678415464683325,0.006426423589550475,4.7792770470691005e-06,0.906136096453144,1.0472127305953804
ala_D[e],-0.029640522947068305,-0.115844671101107,0.05656362520697039,0.5003646989923398,-0.12002728183607322,0.06074623594193662,0.0339751563004494,4.969207910555339e-06,0.906136096453144,1.0561073267976597
acgam[e],0.01176674854189612,-0.06807908194446204,0.09161257902825427,0.7727063730517691,-0.07971379528541665,0.10324729236920889,0.013467980400563214,4.903280517579109e-06,0.906136096453144,1.0440072738238348
gsn[e],-0.07290866069788068,-0.14938306835751047,0.0035657469617491194,0.06168163373154582,-0.16204360672467144,0.016226285328910073,0.08258352512348999,0.010412807932499987,0.906136096453144,1.0676179797089034
akg[e],0.01099539669651421,-0.07527983228240712,0.09727062567543554,0.8027507209587338,-0.08314083410172458,0.10513162749475301,0.012237857967725497,4.8928903748826585e-06,0.906136096453144,1.0145710284736478
k[e],-0.002508023282493603,-0.08708465068628857,0.08206860412130138,0.9536526506939809,-0.09433279983209886,0.08931675326711166,0.0028733625670022108,5.068427390688581e-06,0.906136096453144,1.0401847833785343
cgly[e],-0.023670219636288816,-0.10976885531437922,0.06242841604180158,0.5900021565452749,-0.11524658759531023,0.06790614832273259,0.02687780562431977,6.167653180336628e-06,0.906136096453144,1.0426237826145974
26dap_M[e],-0.02176339520102825,-0.10866161113950526,0.06513482073744875,0.6235204842751693,-0.11343962992972516,0.06991283952766865,0.024713231236560527,6.379494980498984e-06,0.906136096453144,1.0415484534629442
mn2[e],-0.0034276017691466623,-0.0883096552931426,0.08145445175484926,0.9369174230964595,-0.09531745200721711,0.08846224846892378,0.0039225553165683665,5.082993928467333e-06,0.906136096453144,1.0394444283327269
thr_L[e],-0.03580317984936479,-0.12112924340954655,0.049522883710816964,0.4108440226025528,-0.12627860563606588,0.0546722459373363,0.04085236216933524,4.442800936592298e-06,0.906136096453144,1.054785234009963
lys_L[e],-0.02846315653213603,-0.1135544604594346,0.05662814739516253,0.5120746969649248,-0.12000814654565159,0.06308183348137952,0.032241789823314576,3.4738129588050234e-06,0.906136096453144,1.0428082944347434
ca2[e],-0.0035972868614161024,-0.08835671911869086,0.08116214539585867,0.9337059470228144,-0.09548484426735837,0.08829027054452618,0.004116514032111047,5.084026752962788e-06,0.906136096453144,1.039469549486463
pydx[e],-0.008123171531223708,-0.09183885872821614,0.07559251566576873,0.8491673878049942,-0.09884658830270716,0.08260024524025976,0.00939510657054166,5.061087624494468e-06,0.906136096453144,1.0527698438017363
