"logfc" "p" "direction" "metabolite"
"ncam[e]" -0.339062042375936 6.1426596332732e-06 "output" "ncam[e]"
"4abz[e]" -0.261997974522687 0.0225547220113166 "output" "4abz[e]"
"xan[e]" -0.211544590914152 0.0292051839807405 "output" "xan[e]"
"h2o[e]" -0.360826904000123 0.0357500983903914 "output" "h2o[e]"
"2dmmq8_m" -0.281534510500909 0.0163856869128972 "output" "2dmmq8_m"
"uri_m" 0.354095065888693 0.00432737594329122 "output" "uri_m"
"rmn[e]" 1.10640666226009 0.0461965253113285 "output" "rmn[e]"
"5mta[e]" 0.317536180158539 0.0317133358062496 "output" "5mta[e]"
"g6p[e]" 0.522354889578498 0.00337177081824161 "output" "g6p[e]"
"fald_m" -2.34595105129517 0.000525223765322889 "output" "fald_m"
"urea[e]" 1.9593234601525 0.011208572944059 "output" "urea[e]"
"hdca_m" 0.335313943319788 0.0492922990035843 "output" "hdca_m"
