feature,enrich_group,ef_lda,pvalue,padj
g__Methanobrevibacter,healthy,4.34358096936568,0.000482464578006097,0.000482464578006097
g__Oscillospira,healthy,4.25632775674481,7.22633036791627e-05,7.22633036791627e-05
g__Bacteroides_f__Bacteroidaceae,healthy,4.08426124466845,0.024319536002824,0.024319536002824
g__02d06,healthy,3.59921439274581,2.69703857425768e-05,2.69703857425768e-05
g__Propionispora,healthy,3.5316571015399,0.00456812216331605,0.00456812216331605
g__un_f__Christensenellaceae,healthy,3.50394519884882,3.34091902909856e-05,3.34091902909856e-05
g__Alistipes,healthy,3.22810277181673,0.0065507419405766,0.0065507419405766
g__Bacillus_f__[Thermicanaceae],healthy,3.20729218379901,0.0371520467818265,0.0371520467818265
g__Defluviitalea,healthy,3.0055453696386,0.0123993475333351,0.0123993475333351
g__un_f__Rikenellaceae,healthy,2.72246679487048,0.0405483506485276,0.0405483506485276
g__Paenibacillus,healthy,2.70774387264737,0.00762342324599846,0.00762342324599846
g__Papillibacter,healthy,2.64062731345408,0.0343307437000348,0.0343307437000348
g__Cloacibacillus,healthy,2.5383530151471,0.0112573309584882,0.0112573309584882
g__Dehalobacterium,healthy,2.45292998018287,0.000358173246525147,0.000358173246525147
g__Butyricimonas,healthy,2.38062966716607,0.0274507527712683,0.0274507527712683
g__Peptostreptococcus,healthy,2.3800655329287,0.00995013163772438,0.00995013163772438
g__Trigonala,healthy,2.34121039111283,0.0118023081739521,0.0118023081739521
g__Hespellia,healthy,2.11295594234484,0.0208973580065859,0.0208973580065859
g__Escherichia,hypertension,4.57439897207007,0.0440396153166668,0.0440396153166668
g__Prevotella,hypertension,4.56540631143057,0.00836008410491478,0.00836008410491478
g__Clostridium_f__Clostridiaceae,hypertension,4.22441801041705,0.00619385640094198,0.00619385640094198
g__Enterobacter,hypertension,4.0238666916093,0.00223971093735303,0.00223971093735303
g__Gemmiger,hypertension,3.96083649018835,0.032163030336914,0.032163030336914
g__SMB53,hypertension,3.65564993724882,0.0400690761699629,0.0400690761699629
g__Haemophilus,hypertension,3.5486736573143,0.0142259784943542,0.0142259784943542
g__[Ruminococcus],hypertension,3.4239037701577,0.00186303644389108,0.00186303644389108
g__Clostridium_f__Ruminococcaceae,hypertension,3.13117395857824,0.00269087256840428,0.00269087256840428
g__Succinivibrio,hypertension,3.10815026534745,0.0226420200796234,0.0226420200796234
g__CF231,hypertension,2.39585250493396,0.0302638338278033,0.0302638338278033
