,ATE,CI2.5,CI97.5,pvalue,theta lower,theta upper,RV,rva,rmse ml_l,rmse ml_m
Adlercreutzia_26dap_M,0.04475765195143311,-0.05242360650054392,0.14193891040341014,0.3666968058136175,-0.039573590860506644,0.12908889476337287,0.05440174496408949,4.072957871822648e-06,0.864700287373052,1.0791387414865867
Adlercreutzia_cgly,0.006087552522803413,-0.07250921852455212,0.08468432357015894,0.8793407296849952,-0.07859638208807017,0.09077148713367698,0.007550273753470858,4.726416636240743e-06,0.864700287373052,1.0762938355079135
Adlercreutzia_co2,-0.06452942844580419,-0.15610199110526862,0.027043134213660266,0.16723314417528135,-0.14878442960600533,0.019725572714396955,0.07753816083264801,3.844889748788688e-06,0.864700287373052,1.0782959952592996
Adlercreutzia_glu_L,0.053953927412844285,-0.03618296222042498,0.14409081704611354,0.24071936773339098,-0.029572234770243233,0.1374800895959318,0.06581086743225946,4.985542236244424e-06,0.864700287373052,1.088723051349719
Adlercreutzia_mg2,0.005723349922363858,-0.0711337830983403,0.08258048294306801,0.883958177439697,-0.08035004965680002,0.09179674950152773,0.006986097663425242,6.429118980898523e-06,0.864700287373052,1.058923837240656
Adlercreutzia_ser_L,-0.05629163297257332,-0.1285752507804817,0.01599198483533508,0.1269245366901943,-0.13821800819267926,0.02563474224753262,0.06985149512655578,6.023091165352644e-06,0.864700287373052,1.109646151708792
Blautia_26dap_M,0.06172599248555091,-0.0007915161637763318,0.12424350113487816,0.05297195940095017,-0.02403239748617121,0.14748438245727302,0.07304655496179477,0.012510813219366637,0.864700287373052,1.0597937582802797
Blautia_cgly,-0.058067187310883894,-0.11180260762076255,-0.004331767001005238,0.03417825839812994,-0.1432281108490167,0.027093736227248935,0.06933716661147692,0.018281992459453042,0.864700287373052,1.0675423980091097
Blautia_co2,0.07754895283660264,0.02961457116201862,0.12548333451118665,0.0015198901708192206,-0.0021899489309640113,0.15728785460416927,0.09739282877565529,0.059787967386600624,0.864700287373052,1.137113896192384
Blautia_glu_L,0.02441054392754095,-0.0036536312198571404,0.052474719074939044,0.08823185684957875,-0.05202980651853367,0.10085089437361558,0.03310032303273749,0.001043031308612352,0.864700287373052,1.1917242302962998
Blautia_mg2,0.07190463895443724,-0.0014702141060193435,0.14527949201489382,0.054770532618876544,-0.013181568172203312,0.1569908460810778,0.08520003985289605,0.011497527117856322,0.864700287373052,1.0670110010793292
Blautia_ser_L,-0.09624858339323471,-0.16082573045843548,-0.03167143632803393,0.0034866866333020186,-0.1820072731802232,-0.010489893606246206,0.1115125489140182,0.035607769256240214,0.864700287373052,1.0554755738804658
Butyricimonas_26dap_M,-0.01929421256034241,-0.0812221377906053,0.04263371266992049,0.541434797641836,-0.09791902604546007,0.05933060092477526,0.025535422109378446,4.87196749648245e-06,0.864700287373052,1.158882688282124
Butyricimonas_cgly,0.07749759491776471,0.03151482472269752,0.12348036511283192,0.0009557181588363917,-0.009307896305766464,0.1643030861412959,0.08978213740449746,0.03155882743440516,0.864700287373052,1.0454001315896801
Butyricimonas_glu_L,0.07000631734823448,0.03351598008946053,0.10649665460700844,0.00016979812958272696,-0.013980431129566484,0.15399306582603545,0.08408768907809039,0.03441778833616669,0.864700287373052,1.0810945249867556
Butyricimonas_mg2,0.07785202333559307,0.0274042079218014,0.12829983874938475,0.002489181162228229,-0.007879804940404203,0.16358385161159034,0.09124847738616901,0.03048603551294906,0.864700287373052,1.058331481815866
Butyricimonas_ocdca,-0.0036646048091887895,-0.05179118025862524,0.044461970640247664,0.8813628918522,-0.07642683312231333,0.06909762350393575,0.005296413135021491,5.20453399372739e-06,0.864700287373052,1.2526571970458125
Butyricimonas_ser_L,-0.08072262854320192,-0.11745748665866924,-0.04398777042773459,1.655566933222719e-05,-0.17052294712774718,0.009077690041343331,0.0903702668964533,0.03826910682331776,0.864700287373052,1.0104749835812945
Enterobacter_26dap_M,-0.10245846874851917,-0.18155787712946325,-0.023359060367575082,0.011124412005149803,-0.18465760311517007,-0.020259334381868277,0.12304105221511123,0.046983921770789576,0.864700287373052,1.0994119658003183
Enterobacter_cgly,-0.053174345868633566,-0.12782509164503114,0.021476399907763996,0.16268480077912095,-0.13553193677237202,0.0291832450351049,0.06578130340511118,5.988941140671295e-06,0.864700287373052,1.10417330418538
Enterobacter_co2,0.03984547595753984,-0.03392212600949495,0.11361307792457462,0.28974916469334755,-0.04086180318851793,0.12055275510359761,0.05070469946420754,6.642521877787232e-06,0.864700287373052,1.1278318276138704
Enterobacter_dgsn,-0.0020641308894573224,-0.061879506003539635,0.057751244224624985,0.9460760693470813,-0.08465279660514925,0.0805245348262346,0.0026294760163260086,5.4295549485722505e-06,0.864700287373052,1.103627190131076
Enterobacter_kestopt,0.07187741719066429,-0.03554327964522731,0.17929811402655588,0.18970490779032023,-0.015417861861727208,0.1591726962430558,0.08310744897985375,6.102225338956479e-06,0.864700287373052,1.0402170731432259
Enterobacter_mg2,0.045138941225874474,-0.0563528664503677,0.14663074890211664,0.38337049916808175,-0.040915141475202976,0.13119302392695192,0.05378432742095864,5.00010399080361e-06,0.864700287373052,1.0575722074577332
Enterobacter_ocdca,-0.04543500797090332,-0.12433827051260718,0.03346825457080054,0.2590625608515049,-0.1269048584588218,0.03603484251701516,0.05708351346693134,3.8204892443459465e-06,0.864700287373052,1.1168589066601162
Faecalibacterium_26dap_M,0.07053413245827499,-0.010580197888790388,0.15164846280534036,0.08832227858573809,-0.015711027109108308,0.15677929202565827,0.08257142246226859,0.003371973061093232,0.864700287373052,1.0529356201801758
Faecalibacterium_glu_L,-0.10957616400623299,-0.19002666541823698,-0.029125662594228982,0.007595662141560458,-0.19111389651219968,-0.028038431500266303,0.13197802337461936,0.05189378752424772,0.864700287373052,1.1068059071447935
Faecalibacterium_mg2,-0.1085471845786038,-0.18802879594666216,-0.029065573210545412,0.007435077572533446,-0.194270889338596,-0.022823479818611603,0.12486330979112246,0.034504833195714214,0.864700287373052,1.053923122011575
Faecalibacterium_ocdca,0.07955548263555111,0.03799953213831705,0.12111143313278516,0.0001752955364197738,-0.007289193048015369,0.16640015831911759,0.09201144434475703,0.065187233681414,0.864700287373052,1.0446860825272144
Faecalibacterium_ser_L,0.010483032584788405,-0.07392335692437306,0.09488942209394986,0.8076785562535148,-0.07352446714559957,0.09449053231517637,0.013068727095172466,4.74140710736759e-06,0.864700287373052,1.0848975336192797
Roseburia_26dap_M,-0.024571619021097696,-0.11600409109590819,0.0668608530537128,0.5983867030589354,-0.10844710794327173,0.059303869901076334,0.030407570515522675,6.526176536909505e-06,0.864700287373052,1.086181286777619
Roseburia_co2,0.02062189395564526,-0.04688437595930073,0.08812816387059125,0.5493515605885839,-0.05427539099447991,0.09551917890577043,0.028605532465806955,4.010886019031434e-06,0.864700287373052,1.2164533008525982
Roseburia_mg2,-0.07223030321194447,-0.1523215819705661,0.007860975546677168,0.07712894989813646,-0.16025642450989153,0.015795818086002597,0.08283440904183438,0.009329302485333679,0.864700287373052,1.031607046477994
Roseburia_ocdca,-0.08174352529527981,-0.13020168382719116,-0.03328536676336845,0.0009455661689202385,-0.16851609842031473,0.0050290478297551205,0.09449102853304454,0.03203544279907972,0.864700287373052,1.0452764796944334
Roseburia_ser_L,0.033741612071299214,-0.03566378122118561,0.10314700536378404,0.34067034459135637,-0.05006019715971894,0.11754342130231737,0.04155088031975212,4.813083363027931e-06,0.864700287373052,1.0866762154072955
Collinsella_26dap_M,0.00724175061410603,-0.08469269934508454,0.09917620057329661,0.8773038617585155,-0.07853090392894607,0.09301440515715814,0.008861605001524131,3.3884975595200113e-06,0.864700287373052,1.0626207672492962
