,ATE,CI2.5,CI97.5,pvalue,theta lower,theta upper,RV,rva,rmse ml_l,rmse ml_m
Adlercreutzia_26dap_M,0.06766163656316138,-0.020466751576043468,0.15579002470236622,0.1323790863725825,-0.01885563763163739,0.15417891075796014,0.07910847726787117,5.5901548144604785e-06,0.9022116206767928,1.0955031958709183
Adlercreutzia_cgly,-0.04796330874572135,-0.07763521789543952,-0.018291399596003174,0.001533892487498631,-0.1357825634800055,0.0398559459885628,0.05593715325595291,0.024385389184255285,0.9022116206767928,1.081132458511434
Adlercreutzia_co2,-0.06210876833878135,-0.15505342386315096,0.030835887185588252,0.19029248731779225,-0.1517873321582682,0.02756979548070549,0.07038736527638945,4.5345920618195345e-06,0.9022116206767928,1.0576556780236763
Adlercreutzia_glu_L,0.11202484801051127,0.042183362657651394,0.18186633336337116,0.0016679380862203309,0.025372903521531293,0.19867679249949124,0.1273050530579157,0.0656530581436904,0.9022116206767928,1.0874598902516817
Adlercreutzia_mg2,-0.05987259379739615,-0.09189437462110538,-0.027850812973686925,0.0002476919056423933,-0.1482422234612341,0.028497035866441825,0.06891277237547039,0.025693817118969533,0.9022116206767928,1.0734440066584836
Adlercreutzia_ser_L,-0.07969594527169717,-0.13983032508571883,-0.01956156545767551,0.009389543161860348,-0.16419386658447932,0.004801976041084996,0.09459846044441365,0.046778198410046955,0.9022116206767928,1.1199673593130175
Blautia_26dap_M,0.0478030610308749,-0.008330945184063798,0.1039370672458136,0.09510106434458482,-0.04045607671443135,0.13606219877618114,0.05548567497156888,0.000809213458568347,0.9022116206767928,1.0757735040767458
Blautia_cgly,-0.06232628870442071,-0.11034034189718378,-0.01431223551165764,0.010952882818357244,-0.14806596698577537,0.02341338957693395,0.07374522990090807,0.019447230344935708,0.9022116206767928,1.1059464473977858
Blautia_co2,0.07161440765881515,-0.0038887757787858662,0.14711759109641614,0.06302480720237259,-0.012144981166601523,0.15537379648423183,0.08615531357577123,0.014603906325713902,0.9022116206767928,1.1308291679999816
Blautia_glu_L,0.0290010303989071,-0.004476424067916304,0.0624784848657305,0.0895288637124291,-0.052172921559660176,0.11017498235747437,0.03695764717948773,0.0015265477639052995,0.9022116206767928,1.1707461065191322
Blautia_mg2,0.09283712531132596,0.024058088659236115,0.1616161619634158,0.00815615919393411,0.005159915334529308,0.1805143352881226,0.1055588311921947,0.027601210219850233,0.9022116206767928,1.0779833696443186
Blautia_ser_L,-0.11574527140562547,-0.22081007826271568,-0.010680464548535273,0.03083418732556634,-0.20208676150747315,-0.0294037813037778,0.13167508795711386,0.02183783923790383,0.9022116206767928,1.0906224755955425
Butyricimonas_26dap_M,-0.0686604367063715,-0.1295337193642404,-0.0077871540485025675,0.027057282046337772,-0.1502850845209232,0.012964211108180204,0.08482358833586771,0.018402452345083527,0.9022116206767928,1.1605539276097743
Butyricimonas_cgly,0.07281912114705034,0.013912339570407765,0.13172590272369292,0.015398881406139087,-0.015099410224358234,0.16073765251845892,0.08357796350774949,0.017240327232120302,0.9022116206767928,1.0776006539518912
Butyricimonas_glu_L,0.06097662988474376,0.01448835898393025,0.10746490078555727,0.01014642090334365,-0.02509280768271773,0.14704606745220525,0.07194181886130711,0.01809810130317745,0.9022116206767928,1.1018705372044741
Butyricimonas_mg2,0.07526169627714084,0.0139524771850233,0.1365709153692584,0.016128096946982612,-0.012170557606650326,0.16269395016093202,0.08671307829035851,0.01758488579008793,0.9022116206767928,1.0832657630706333
Butyricimonas_ocdca,-0.043740456866660365,-0.08602946399152075,-0.0014514497417999692,0.042638470519531534,-0.11881511597568116,0.03133420224236043,0.05955746771430584,0.010737174781096367,0.9022116206767928,1.264376219425013
Butyricimonas_ser_L,-0.08179423251410173,-0.1488466854893262,-0.014741779538877259,0.016808468026060258,-0.17055052064248566,0.006962055614282217,0.09253639561416663,0.018643968976958736,0.9022116206767928,1.066469791142343
Enterobacter_26dap_M,-0.07936708708396248,-0.1705635497342947,0.011829375566369732,0.0880581775387721,-0.163928217485928,0.005194043318003064,0.09416050433791115,0.00380114608352676,0.9022116206767928,1.1191834141034886
Enterobacter_cgly,-0.048789507504551036,-0.1386991240012948,0.04112010899219275,0.2875209844916681,-0.13409962994164062,0.03652061493253855,0.05849482841732162,5.93300651345319e-06,0.9022116206767928,1.1127532461820777
Enterobacter_co2,0.06225314701290234,-0.02386086248362325,0.14836715650942794,0.15651560967337416,-0.019152076720291178,0.14365837074609586,0.07742633938859347,4.260156177777879e-06,0.9022116206767928,1.164470371395049
Enterobacter_dgsn,-0.0707050445216294,-0.14781168455229232,0.006401595509033534,0.07229710898242031,-0.15518598062288058,0.013775891579621793,0.08441507259958152,0.007616743452376081,0.9022116206767928,1.1213597259883514
Enterobacter_kestopt,0.11190556526083086,0.08411483163401523,0.13969629888764648,2.968326591007373e-15,0.02291284448032886,0.20089828604133286,0.12405407321015176,0.07646001957093765,0.9022116206767928,1.0593773942693216
Enterobacter_mg2,0.0980107047740616,0.04752476351652953,0.14849664603159365,0.00014182183769062136,0.011246959399232606,0.1847744501488906,0.11219554100766028,0.04632049878232774,0.9022116206767928,1.0884079051782454
Enterobacter_ocdca,-0.059915625974173055,-0.1434947611978896,0.02366350924954349,0.16000781567012656,-0.14415414990494752,0.0243228979566014,0.07221579358631985,6.2357760002831104e-06,0.9022116206767928,1.1257948024272033
Faecalibacterium_26dap_M,0.06138723337924452,-0.00900662493610472,0.13178109169459376,0.08741500343414912,-0.027075038418184073,0.14984950517667311,0.07052111314357172,0.0026850466222909175,0.9022116206767928,1.0721864546488817
Faecalibacterium_glu_L,-0.05679784111830414,-0.15439890553391888,0.0408032232973106,0.25404516653263254,-0.14171493344892866,0.028119251212320374,0.06806276520551093,3.63301573826654e-06,0.9022116206767928,1.1171598366347926
Faecalibacterium_mg2,-0.09711044618282334,-0.18589882297859328,-0.008322069387053405,0.032059339990761125,-0.1851375962923666,-0.009083296073280109,0.10972218562767877,0.018009601592120183,0.9022116206767928,1.0731336887703602
Faecalibacterium_ocdca,0.09127006038482856,0.06551640432532359,0.11702371644433353,3.756713270382988e-12,0.0012356833411613366,0.18130443742849578,0.10130075143042207,0.061700080891586524,0.9022116206767928,1.05030012437941
Faecalibacterium_ser_L,-0.03841599921732588,-0.10027750310383383,0.023445504669182077,0.22355178992658775,-0.12304724690326863,0.04621524846861686,0.0467169304531647,6.14640201853292e-06,0.9022116206767928,1.122431512870829
Roseburia_26dap_M,0.02572514723367971,-0.072409297474127,0.12385959194148641,0.6073997768890306,-0.06068944027422487,0.11213973474158428,0.03089192645984414,5.494559811893297e-06,0.9022116206767928,1.0999840386379462
Roseburia_co2,0.031078242104540566,-0.06824661209073413,0.13040309629981525,0.5397026060919753,-0.05011374411419982,0.11227022832328094,0.03954269092548676,6.2687365200878646e-06,0.9022116206767928,1.1703635194534456
Roseburia_mg2,-0.077209145570111,-0.1395656617297482,-0.014852629410473786,0.015232414143099202,-0.1687805114776276,0.014362220337405585,0.08501490076639576,0.03700617115878202,0.9022116206767928,1.0344724969426387
Roseburia_ocdca,-0.07147565089452158,-0.1291550164084405,-0.013796285380602687,0.015150292753265631,-0.15998789912909964,0.01703659734005647,0.08157474280291302,0.016967546000079645,0.9022116206767928,1.0705726071469694
Roseburia_ser_L,-0.018813533170343434,-0.09544765202426891,0.05782058568358204,0.630397456852794,-0.10454592994321765,0.0669188636025308,0.022866419406035305,4.116674686160064e-06,0.9022116206767928,1.1089859381752407
Collinsella_26dap_M,0.06657835059623748,0.029218830867634077,0.10393787032484089,0.00047789626805782995,-0.017879466701677782,0.15103616789415275,0.079713839105359,0.0311917797206341,0.9022116206767928,1.1221557204272778
Collinsella_amylopect900,0.06481728468352604,0.026885630434920135,0.10274893893213195,0.0008105416157332195,-0.022253072135052163,0.15188764150210426,0.0754509504240701,0.025748256771658037,0.9022116206767928,1.0888896538154498
Collinsella_cgly,0.06639625946902043,0.029753912743415302,0.10303860619462557,0.00038308239822959186,-0.01900219788046026,0.15179471681850112,0.07866499220651141,0.03075613214240581,0.9022116206767928,1.1098991976157697
Collinsella_co2,0.08647234898797958,0.02662740447696161,0.14631729349899755,0.004625348110382783,-0.00027485255157171096,0.17321955052753085,0.09970142408267177,0.05559657496254592,0.9022116206767928,1.0903033459832427
Collinsella_dgsn,0.05457557264146562,-0.023333950708908507,0.13248509599183975,0.16976678682767488,-0.03069184376664494,0.13984298904957618,0.06522998718603504,6.2566313135326685e-06,0.9022116206767928,1.1128019525254338
Collinsella_glu_L,0.015473483095563218,-0.06395352458826462,0.09490049077939106,0.7025888168903329,-0.06869406400053706,0.0996410301916635,0.01919274941251954,3.5897728229080073e-06,0.9022116206767928,1.1296943619043407
Collinsella_mg2,0.10034808672881643,0.06135643679417362,0.13933973666345922,4.5560875164919925e-07,0.01032441377231258,0.19037175968532027,0.11079865639034361,0.06913610311981323,0.9022116206767928,1.0491873449092464
Collinsella_ser_L,-0.040365497747249006,-0.1078822584618847,0.0271512629673867,0.2412846096618999,-0.1254935593882774,0.04476256389377937,0.04874910839089926,4.562212826321126e-06,0.9022116206767928,1.1157646805126389
Fusobacterium_26dap_M,-0.11516139869401473,-0.14922184643675784,-0.08110095095127161,3.430133502737094e-11,-0.20419868573876382,-0.026124111649265647,0.12735942227222052,0.07418012568817649,0.9022116206767928,1.0583175852190487
Fusobacterium_cgly,0.034769554515004165,-0.099709567290027,0.16924867632003532,0.6123313929379852,-0.05482579417452663,0.12436490320453497,0.04007884257619141,4.985158409162978e-06,0.9022116206767928,1.0605682946178585
Fusobacterium_mg2,-0.12375889778255948,-0.18462425486155648,-0.0628935407035625,6.741229670896284e-05,-0.21181490327143854,-0.03570289229368043,0.13758024875246844,0.06282626575097332,0.9022116206767928,1.0683506283195272
Fusobacterium_pydx5p,-0.12365218133746278,-0.1650649675954464,-0.08223939507947917,4.852597275208675e-09,-0.2133418514133098,-0.03396251126161577,0.13514791674565965,0.07158793749911149,0.9022116206767928,1.0493165612281763
Fusobacterium_ser_L,0.11475530163765951,0.08209639619411321,0.1474142070812058,5.7050205698444524e-12,0.024006256877442025,0.205504346397877,0.12470567461761912,0.06346953380955028,0.9022116206767928,1.038773532006707
Roseburia_glu_L,0.0718287202276502,0.012381914398299249,0.13127552605700116,0.017875049774288644,-0.011654801827194153,0.15531224228249457,0.08667402407741721,0.0256008611119862,0.9022116206767928,1.1345081008059477
Veillonella_26dap_M,-0.024954862623561145,-0.07759430020313597,0.027684574956013685,0.3528044789980884,-0.11526226445754738,0.0653525392104251,0.02870757471421836,6.46217731048826e-06,0.9022116206767928,1.0526394833127914
Veillonella_cgly,0.06713566277502407,0.02756847515882138,0.10670285039122676,0.000882377083865561,-0.01794044419681541,0.15221176974686357,0.07979348328457184,0.02723821841749281,0.9022116206767928,1.1139924986346195
